TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR00001,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00002,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00003,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00004,92,Other,Cellular processes,Cellular processes::Other
TIGR00005,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00006,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00007,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR00008,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00009,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00010,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00011,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00012,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00013,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00014,96,Detoxification,Cellular processes,Cellular processes::Detoxification
TIGR00016,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR00017,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Nucleotide and nucleoside interconversions"
TIGR00018,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A"
TIGR00019,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00020,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00021,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00022,157,General,Unknown function,Unknown function::General
TIGR00023,176,Biosynthesis,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Biosynthesis
TIGR00024,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00026,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00027,703,Enzymes of unknown specificity,Unknown function,Unknown function::Enzymes of unknown specificity
TIGR00029,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
