,Function
TIGR02778,"DNA ligase D, polymerase domain"
TIGR00283,peptidyl-tRNA hydrolase
TIGR02100,glycogen debranching enzyme GlgX
TIGR02359,energy coupling factor transporter S component ThiW
TIGR00224,phosphoenolpyruvate carboxykinase (ATP)
TIGR00745,2-dehydropantoate 2-reductase
TIGR00260,threonine synthase
TIGR04171,"ribonucleoside-diphosphate reductase, class 1b, beta subunit"
TIGR03819,helicase/secretion neighborhood ATPase
TIGR01419,PTS IIA-like nitrogen-regulatory protein PtsN
TIGR04342,EXLDI protein
TIGR01852,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR01900,succinyl-diaminopimelate desuccinylase
TIGR02177,"2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family"
TIGR02947,"RNA polymerase sigma-70 factor, TIGR02947 family"
TIGR00715,precorrin-6x reductase
TIGR01303,IMP dehydrogenase family protein
TIGR02207,lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase
TIGR00196,YjeF family C-terminal domain
TIGR02118,conserved hypothetical protein
TIGR00804,"nucleoside transporter, NupC family"
TIGR02937,"RNA polymerase sigma factor, sigma-70 family"
TIGR00070,ATP phosphoribosyltransferase
TIGR03499,flagellar biosynthesis protein FlhF
TIGR01079,ribosomal protein uL24
TIGR00278,putative membrane protein insertion efficiency factor
TIGR03026,nucleotide sugar dehydrogenase
TIGR00152,dephospho-CoA kinase
TIGR01554,"phage major capsid protein, HK97 family"
TIGR02852,"dipicolinic acid synthetase, B subunit"
TIGR00692,L-threonine 3-dehydrogenase
TIGR01726,"amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family"
TIGR03956,[FeFe] hydrogenase H-cluster radical SAM maturase HydE
TIGR01498,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
TIGR00901,AmpG-like permease
TIGR01085,UDP-N-acetylmuramyl-tripeptide synthetase
TIGR01348,dihydrolipoyllysine-residue acetyltransferase
TIGR01235,pyruvate carboxylase
TIGR01951,transcription antitermination factor NusB
TIGR03860,"FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family"
TIGR00979,"fumarate hydratase, class II"
TIGR02675,tape measure domain
TIGR00282,"metallophosphoesterase, MG_246/BB_0505 family"
TIGR04282,"transferase 1, rSAM/selenodomain-associated"
TIGR01440,TIGR01440 family protein
TIGR00519,"L-asparaginase, type I"
TIGR03638,"CRISPR-associated endonuclease Cas1, subtype I-E/ECOLI"
TIGR02009,beta-phosphoglucomutase family hydrolase
TIGR01174,cell division protein FtsA
TIGR03446,mycothiol conjugate amidase Mca
TIGR02063,ribonuclease R
TIGR00388,"glycine--tRNA ligase, alpha subunit"
TIGR01694,methylthioadenosine phosphorylase
TIGR01975,beta-aspartyl peptidase
TIGR03904,uncharacterized radical SAM protein YgiQ
TIGR02821,S-formylglutathione hydrolase
TIGR01366,putative phosphoserine aminotransferase
TIGR03792,"uncharacterized cyanobacterial protein, TIGR03792 family"
TIGR00468,"phenylalanine--tRNA ligase, alpha subunit"
TIGR02159,"phenylacetate-CoA oxygenase, PaaJ subunit"
TIGR01033,"DNA-binding regulatory protein, YebC/PmpR family"
TIGR00671,"pantothenate kinase, type III"
TIGR01965,VCBS repeat
TIGR00436,GTP-binding protein Era
TIGR03751,"conjugative transfer region lipoprotein, TIGR03751 family"
TIGR01382,"intracellular protease, PfpI family"
TIGR02669,SpoIID/LytB domain
TIGR00826,"PTS system, glucose-like IIB component"
TIGR00744,ROK family protein (putative glucokinase)
TIGR02773,"helicase-exonuclease AddAB, AddB subunit"
TIGR03150,beta-ketoacyl-acyl-carrier-protein synthase II
TIGR00031,UDP-galactopyranose mutase
TIGR00019,peptide chain release factor 1
TIGR01688,"D-alanine--poly(phosphoribitol) ligase, subunit 2"
TIGR03311,selenium-dependent xanthine dehydrogenase
TIGR02531,TrpR homolog YerC/YecD
TIGR00006,16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR01414,outer membrane autotransporter barrel domain
TIGR02220,"phage conserved hypothetical protein, C-terminal domain"
TIGR00229,PAS domain S-box protein
TIGR04287,exosortase K
TIGR01070,DNA mismatch repair protein MutS
TIGR02136,phosphate binding protein
TIGR03254,oxalyl-CoA decarboxylase
TIGR01172,serine O-acetyltransferase
TIGR00051,"acyl-CoA thioester hydrolase, YbgC/YbaW family"
TIGR00245,TIGR00245 family protein
TIGR03848,"probable phosphomutase, MSMEG_4193 family"
TIGR01812,"succinate dehydrogenase or fumarate reductase, flavoprotein subunit"
TIGR03959,putative iron-only hydrogenase system regulator
