SampleName,Total_Base_Pairs
DRR171610.fastq.gz,3961598518
DRR171608.fastq.gz,3546867040
DRR171613.fastq.gz,3802003047
DRR127524.fastq.gz,5597591218
DRR171616.fastq.gz,3874132490
DRR127532.fastq.gz,2666531250
DRR171617.fastq.gz,4437791272
DRR127535.fastq.gz,1954305875
DRR171619.fastq.gz,3949583022
DRR127537.fastq.gz,2988907929
DRR127692.fastq.gz,2797634204
DRR127546.fastq.gz,7080281937
DRR127552.fastq.gz,2026901639
DRR171628.fastq.gz,5051435680
DRR127583.fastq.gz,3778656827
DRR127704.fastq.gz,3182032893
DRR127588.fastq.gz,3069031630
DRR171629.fastq.gz,5749767821
DRR127596.fastq.gz,2848818858
DRR127707.fastq.gz,4585086313
DRR127597.fastq.gz,2570176890
DRR171631.fastq.gz,3686629026
DRR127613.fastq.gz,3073399776
DRR171637.fastq.gz,4111040259
DRR127616.fastq.gz,3405703529
DRR127713.fastq.gz,3738623044
DRR127619.fastq.gz,2619769724
DRR171639.fastq.gz,4158638893
DRR127628.fastq.gz,3182783887
DRR171640.fastq.gz,5435141045
DRR127634.fastq.gz,5412200823
DRR127721.fastq.gz,3293981181
DRR127649.fastq.gz,3071264995
DRR171607.fastq.gz,3508936630
DRR171538.fastq.gz,3524726516
DRR171641.fastq.gz,3467752116
DRR171539.fastq.gz,2141105393
DRR127724.fastq.gz,4108942427
DRR171543.fastq.gz,1777324509
DRR171642.fastq.gz,4096583222
DRR171545.fastq.gz,1727296536
DRR171643.fastq.gz,3197765057
DRR171546.fastq.gz,3942732375
DRR127728.fastq.gz,3459335144
DRR171552.fastq.gz,3033364023
DRR171644.fastq.gz,3441136667
DRR171555.fastq.gz,2776407766
DRR171645.fastq.gz,4370080300
DRR171560.fastq.gz,1216410120
DRR127731.fastq.gz,4637255577
DRR171563.fastq.gz,2674622753
DRR171646.fastq.gz,3472738976
DRR171567.fastq.gz,3110010620
DRR171647.fastq.gz,1497585892
DRR171568.fastq.gz,2014822646
DRR171648.fastq.gz,3384140694
DRR171569.fastq.gz,2553080443
DRR171650.fastq.gz,2493446503
DRR171571.fastq.gz,2525129753
DRR127736.fastq.gz,3002130293
DRR171572.fastq.gz,3344514196
DRR127748.fastq.gz,2662302160
DRR171576.fastq.gz,53821296
DRR127751.fastq.gz,3998727954
DRR171578.fastq.gz,3134878848
DRR127752.fastq.gz,3631685911
DRR171580.fastq.gz,3523086369
DRR127755.fastq.gz,3171822694
DRR171581.fastq.gz,4398046240
DRR127756.fastq.gz,3660246632
DRR171585.fastq.gz,2943737367
DRR127762.fastq.gz,3733052377
DRR171586.fastq.gz,2659271518
DRR127763.fastq.gz,3440314124
DRR171587.fastq.gz,2790937364
DRR127776.fastq.gz,3751668336
DRR127777.fastq.gz,3796101138
DRR171589.fastq.gz,1466604803
DRR171591.fastq.gz,3262549236
DRR162775.fastq.gz,3063019802
DRR171592.fastq.gz,3059953486
DRR171651.fastq.gz,3441063593
DRR171594.fastq.gz,3804351920
DRR171598.fastq.gz,3267045832
DRR171599.fastq.gz,2977806262
DRR171652.fastq.gz,3392669271
DRR171601.fastq.gz,3734387002
DRR162776.fastq.gz,2429170630
DRR171604.fastq.gz,3207094241
DRR171653.fastq.gz,4406746599
DRR171605.fastq.gz,2975715834
DRR171606.fastq.gz,3706776318
DRR171620.fastq.gz,3803157471
DRR171654.fastq.gz,2739983082
DRR127672.fastq.gz,3202323430
DRR171621.fastq.gz,3340046120
DRR171467.fastq.gz,5034613048
DRR127683.fastq.gz,3263356453
DRR171488.fastq.gz,3248174131
DRR171659.fastq.gz,3928628408
DRR171655.fastq.gz,3436053897
DRR171656.fastq.gz,2922450251
DRR171657.fastq.gz,3288148298
DRR171469.fastq.gz,3512282793
DRR171773.fastq.gz,3147825945
DRR171662.fastq.gz,3077352531
DRR171474.fastq.gz,2683865265
DRR171777.fastq.gz,5059025575
DRR171663.fastq.gz,3735025331
DRR171477.fastq.gz,3213013197
DRR171673.fastq.gz,3953851373
DRR171779.fastq.gz,4217944740
DRR171676.fastq.gz,3676788300
DRR171782.fastq.gz,3714998920
DRR171479.fastq.gz,2438456684
DRR171686.fastq.gz,3774481770
DRR171689.fastq.gz,2240682823
DRR171783.fastq.gz,5657932050
DRR171487.fastq.gz,2612029153
DRR171691.fastq.gz,3891353841
DRR171786.fastq.gz,5253946156
DRR171497.fastq.gz,3715156358
