SampleName,Cohort,Total_Reads,Mapped,Fraction_Mapped
CSMA8M9R,nonIBD,19884444.0,9350717.0,0.470253
MSM6J2RU,nonIBD,19874995.0,10663018.0,0.536504
MSM79H6N,nonIBD,17635326.0,9182872.0,0.520709
MSM9VZNH,nonIBD,17498519.0,13125443.0,0.750089
MSM9VZF7,nonIBD,17406321.0,9450732.0,0.542948
MSM79H6J,nonIBD,15389081.0,7573405.0,0.49212799999999995
MSM9VZHT,nonIBD,14791565.0,13171308.0,0.8904610000000001
MSM79HA7,nonIBD,14766686.0,8109149.0,0.5491520000000001
MSMA26BT,nonIBD,14697764.0,10986148.0,0.747471
MSM79H6H,nonIBD,14456140.0,7768577.0,0.537389
MSM79HFW,nonIBD,14201659.0,7107969.0,0.5005029999999999
HSMA33QM,nonIBD,13184730.0,7885128.0,0.59805
MSM79H5S,nonIBD,13095393.0,9123763.0,0.696715
HSM7CYZR,nonIBD,12527365.0,8264912.0,0.659749
MSM79HES,nonIBD,12353531.0,9158719.0,0.7413850000000001
MSMA26BL,nonIBD,12017876.0,7975475.0,0.6636340000000001
HSM7CYXO,nonIBD,11899685.0,9608936.0,0.807495
MSM6J2SI,nonIBD,11795195.0,8600198.0,0.7291270000000001
PSM7J16W,nonIBD,11664762.0,7254784.0,0.6219399999999999
MSM79H7W,nonIBD,11558086.0,5380736.0,0.46553900000000004
HSM6XRTG,nonIBD,10826058.0,6525843.0,0.6027899999999999
HSM7CZ2E,nonIBD,10501281.0,7547426.0,0.718715
HSM7CYXE,nonIBD,10335810.0,8553144.0,0.827525
MSM9VZGW,nonIBD,10287658.0,5223032.0,0.507699
MSMA26BF,nonIBD,9723336.0,5796947.0,0.5961890000000001
MSMA26BJ,nonIBD,9705393.0,5831099.0,0.6008100000000001
MSM6J2QJ,nonIBD,9688979.0,4208854.0,0.434396
HSM7J4KM,nonIBD,9503534.0,4928311.0,0.5185770000000001
PSM7J1DL,nonIBD,9404559.0,6304054.0,0.670319
MSMAPC5H,nonIBD,9385699.0,7212348.0,0.76844
MSM79H89,nonIBD,9234460.0,5855785.0,0.634123
HSM6XRVA,nonIBD,8966491.0,4629153.0,0.516273
HSM7CZ1G,nonIBD,8961026.0,5004811.0,0.558509
HSM67VFX,nonIBD,8900598.0,4690276.0,0.526962
HSM7J4HK,nonIBD,8381263.0,4973566.0,0.5934149999999999
MSM9VZLF,nonIBD,8156645.0,4505477.0,0.552369
MSM9VZGS,nonIBD,7875473.0,2426712.0,0.308135
HSM7J4I9,nonIBD,7761112.0,4744532.0,0.611321
MSMA26BV,nonIBD,7083637.0,4416495.0,0.623478
PSMA265J,nonIBD,5800551.0,3674664.0,0.6335029999999999
MSM79HEW,nonIBD,5292389.0,3836999.0,0.725003
HSM7J4O9,nonIBD,5020699.0,4017687.0,0.800225
MSM9VZHL,nonIBD,4427190.0,2366917.0,0.534632
HSM67VGK,nonIBD,4071638.0,3636034.0,0.893015
PSM7J15Q,nonIBD,2982358.0,2869800.0,0.962259
MSM9VZHX,nonIBD,1391590.0,1198730.0,0.86141
CSM79HP4,nonIBD,807599.0,726038.0,0.899008
HSM7J4LN,nonIBD,566108.0,548402.0,0.968723
MSM9VZKI,nonIBD,109141.0,92843.0,0.85067
HSM7J4OL,IBD,21428641.0,16353547.0,0.763163
HSMA33RD,IBD,20271391.0,17755741.0,0.875901
ESM7F5AM,IBD,17544087.0,13585746.0,0.7743770000000001
CSM9X1ZO,IBD,17543352.0,10259600.0,0.5848140000000001
PSMB4MBI,IBD,16477488.0,9508631.0,0.577068
CSM79HOH,IBD,16172148.0,11312972.0,0.699534
PSM7J12Z,IBD,15997307.0,8532997.0,0.533402
HSM6XRTO,IBD,15957839.0,11940250.0,0.748237
MSM6J2LN,IBD,15364789.0,10343683.0,0.673207
ESM5MEC9,IBD,15098983.0,11444654.0,0.757975
CSM9X1XU,IBD,15046053.0,13076262.0,0.8690829999999999
PSMB4MC1,IBD,15027648.0,11735121.0,0.7809020000000001
HSMA33LX,IBD,14907040.0,8974567.0,0.602035
PSMA267F,IBD,14540809.0,10764155.0,0.740272
CSM79HQZ,IBD,14526001.0,11422491.0,0.7863479999999999
HSM7J4JF,IBD,14490157.0,11398377.0,0.786629
PSMA264K,IBD,14324842.0,8400440.0,0.586425
CSM79HM7,IBD,14206114.0,7790178.0,0.5483680000000001
CSM9X21R,IBD,14034556.0,10201401.0,0.726877
ESM5MEDK,IBD,13877835.0,8917065.0,0.64254
HSM7J4Q1,IBD,13691936.0,8407305.0,0.6140329999999999
MSM5LLER,IBD,13392986.0,9832017.0,0.734117
HSM7J4OB,IBD,13247520.0,9008498.0,0.680014
CSM67UG8,IBD,13025505.0,7779941.0,0.5972850000000001
CSM7KOJQ,IBD,12959440.0,10246052.0,0.790625
CSM9X23H,IBD,12888694.0,7353163.0,0.570513
PSM6XBUM,IBD,12733302.0,8920780.0,0.700587
PSM7J1AS,IBD,12641506.0,10233026.0,0.8094779999999999
MSMAPC55,IBD,12452446.0,7187287.0,0.577179
