Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Prevotella_copri,0.059441212415305936,3,3,0,0,0.01492537313432836,0.0,3.0,0.00014925373134328356,Japanese
Bacteroides_salanitronis,0.0009223843693112764,6,6,0,4,0.02985074626865672,0.26666666666666666,26.78690476190477,0.0209198847034668,Japanese
Alistipes_timonensis,0.00028144755890822774,2,2,0,0,0.009950248756218905,0.0,2.5,9.950248756218904e-05,Japanese
Oscillibacter_ruminantium,3.95206283892178e-05,7,2,5,8,0.03482587064676617,0.3809523809523809,36.32738095238094,0.017868859770681353,Japanese
Lachnospiraceae_bacterium_Choco86,0.00074141658110764,14,13,1,38,0.06965174129353234,0.4175824175824176,35.97738095238094,0.012519170569738391,Japanese
Parabacteroides_distasonis,0.009230776045040846,2,2,0,0,0.009950248756218905,0.0,18.51587301587298,3.731343283582089e-05,Japanese
Eubacterium_coprostanoligenes,0.00013488034668635195,3,3,0,0,0.01492537313432836,0.0,26.453968253968267,0.0068319998133431,Japanese
Bifidobacterium_catenulatum,0.0009287677055822084,3,3,0,3,0.01492537313432836,1.0,3.0,0.0,Japanese
Eubacterium_eligens,0.016685987772545166,3,3,0,1,0.01492537313432836,0.3333333333333333,3.0,9.950248756218904e-05,Japanese
Streptococcus_sp_FDAARGOS_192,0.0022435022535436553,3,3,0,1,0.01492537313432836,0.3333333333333333,3.0,9.950248756218904e-05,Japanese
Bacteroides_coprocola,0.03222402919373355,11,11,0,24,0.05472636815920398,0.4363636363636363,32.876190476190445,0.02033036835797282,Japanese
Clostridium_symbiosum,0.0009595582293607347,6,6,0,8,0.02985074626865672,0.5333333333333333,31.38730158730156,0.007422957980464564,Japanese
Bacteroides_pyogenes,0.0002098719906164191,3,3,0,0,0.01492537313432836,0.0,18.02619047619045,0.012487562189054727,Japanese
Lachnoclostridium_sp_YL32,0.0006231998311854191,15,13,2,36,0.07462686567164177,0.3428571428571429,41.377380952381,0.07333391122664855,Japanese
Alistipes_shahii,0.00599810966006318,4,3,1,2,0.01990049751243781,0.3333333333333333,36.717857142857135,0.008420875127253421,European
Clostridium_glycyrrhizinilyticum,0.0005636271903991816,17,17,0,44,0.0845771144278607,0.3235294117647059,58.01666666666679,0.024879427378727892,European
Acetivibrio_ethanolgignens,0.00046697150720856974,25,22,3,45,0.12437810945273632,0.15,62.116666666666774,0.07373052200396296,European
bacterium_LF-3,0.003063333042508579,7,7,0,10,0.03482587064676617,0.4761904761904762,47.3761904761905,0.009526928419324059,European
Ruthenibacterium_lactatiformans,0.0017210323286499702,14,14,0,28,0.06965174129353234,0.3076923076923077,45.82619047619049,0.02289453047887519,European
Eubacterium_ramulus,0.002857074149232915,14,14,0,30,0.06965174129353234,0.3296703296703297,53.4666666666668,0.008577672605356924,European
Prevotella_multisaccharivorax,0.0003843015395685128,8,8,0,4,0.03980099502487562,0.14285714285714285,40.50952380952387,0.038562245434347095,European
Parabacteroides_sp_CT06,0.010848574851673173,4,4,0,0,0.01990049751243781,0.0,41.450000000000045,0.009363447470048662,European
Bacteroides_pectinophilus,0.0050029549672095065,6,6,0,5,0.02985074626865672,0.3333333333333333,45.209523809523795,0.02054976946728022,European
Bacteroides_barnesiae,0.003188269440337189,7,7,0,6,0.03482587064676617,0.2857142857142857,36.05238095238093,0.015879324309603978,European
Streptococcus_salivarius,0.001469454834317112,2,2,0,1,0.009950248756218905,1.0,2.0,0.0,European
Bifidobacterium_catenulatum,0.003265211448218248,7,7,0,9,0.03482587064676617,0.42857142857142855,34.599999999999966,0.010262403710164902,Indian
Bacteroides_helcogenes,3.122215779193202e-05,3,3,0,0,0.01492537313432836,0.0,4.283333333333334,0.0005472636815920396,Indian
Pseudoflavonifractor_capillosus,0.00043414412136345663,9,9,0,20,0.04477611940298507,0.5555555555555556,35.93333333333331,0.003119675206063913,Indian
Christensenella_massiliensis,5.5991507766044725e-05,2,1,1,0,0.009950248756218905,0.0,25.109523809523814,0.007860696517412936,Indian
Parabacteroides_johnsonii,0.0018471599494600548,3,3,0,1,0.01492537313432836,0.3333333333333333,3.0,9.950248756218904e-05,Indian
Streptococcus_sp_oral_taxon_431,1.992801301687649e-05,2,2,0,0,0.009950248756218905,0.0,2.0,4.975124378109453e-05,Indian
Clostridium_glycyrrhizinilyticum,0.00016569374597948726,21,20,1,79,0.1044776119402985,0.3761904761904762,45.31666666666672,0.038782584501476924,Indian
Eubacterium_eligens,0.008527529574748486,6,6,0,3,0.02985074626865672,0.2,27.08571428571429,0.009878138903424108,Indian
Bacteroides_thetaiotaomicron,0.006394263682053085,14,14,0,27,0.06965174129353234,0.2967032967032967,42.11666666666672,0.04774962591441791,Indian
Flavonifractor_plautii,0.0015439389733063124,3,3,0,1,0.01492537313432836,0.3333333333333333,22.039285714285704,0.00023217247097844117,Indian
Mediterranea_massiliensis,0.011067813881044506,18,18,0,38,0.08955223880597014,0.24836601307189546,42.93333333333338,0.035733181091810035,Indian
Veillonella_dispar,0.0008146866414781563,4,4,0,3,0.01990049751243781,0.5,4.0,0.00014925373134328356,Indian
Alistipes_finegoldii,0.0027814331179276232,2,2,0,0,0.009950248756218905,0.0,3.483333333333334,0.00029850746268656717,Indian
Culturomica_massiliensis,0.0006314136959081131,10,8,2,10,0.049751243781094516,0.2222222222222222,35.91666666666664,0.028511146794295505,Indian
Tyzzerella_nexilis,0.0011556498643461779,11,10,1,17,0.05472636815920398,0.3090909090909091,34.5333333333333,0.007802454010611769,American
Pseudoflavonifractor_capillosus,0.0005147323815479279,13,13,0,31,0.06467661691542287,0.3974358974358974,36.45000000000001,0.0028583276715547865,American
Roseburia_intestinalis,0.005006354460354796,2,2,0,0,0.009950248756218905,0.0,3.0,0.0001990049751243781,American
Bacteroides_faecichinchillae,0.0012374377231553428,28,27,1,149,0.13930348258706468,0.3941798941798942,46.166666666666686,0.011719647220551941,American
Bifidobacterium_catenulatum,0.00013078578050008892,2,2,0,0,0.009950248756218905,0.0,2.0,4.975124378109453e-05,American
Subdoligranulum_variabile,0.0008324474089384628,3,3,0,0,0.01492537313432836,0.0,3.8333333333333335,0.00034825870646766166,American
