Bacterial_Strain,Accession,TaxID,Species,Genus,Family,Order,Class,Phylum
Clostridioides_difficile_QCD66c26,NZ_CM000441.1,455631,Clostridioides_difficile,Clostridioides,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
Bacillus_cereus_m1293_strainm1293,NZ_CM000714.1,526973,Bacillus_cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacillus_mycoides_DSM_2048_strainDSM_2048,NZ_CM000742.1,526997,Bacillus_mycoides,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacillus_cereus_AH1273_strainAH1273,NZ_CM000741.1,526994,Bacillus_cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacillus_pseudofirmus_OF4_strainOF4,NC_013791.2,398511,Bacillus_pseudofirmus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Corynebacterium_jeikeium_K411,NC_007164.1,306537,Corynebacterium_jeikeium,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Ureaplasma_parvum_serovar_3_str_ATCC_700970_strainATCC_700970,NC_002162.1,273119,Ureaplasma_parvum,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Yersinia_pestis_KIM10,NC_004088.1,187410,Yersinia_pestis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_O157:H7_str_EDL933_strainEDL933,NC_002655.2,155864,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Chlamydia_muridarum_str_Nigg_strainNigg,NC_002620.2,243161,Chlamydia_muridarum,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Xylella_fastidiosa_9a5c_strain9a5c,NC_002488.3,160492,Xylella_fastidiosa,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Vibrio_cholerae_O1_biovar_El_Tor_str_N16961_strainN16961,NC_002505.1,243277,Vibrio_cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria
Pseudomonas_aeruginosa_PAO1_strainPAO1,NC_002516.2,208964,Pseudomonas_aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Streptococcus_pyogenes_M1_GAS_strainSF370,NC_002737.2,160490,Streptococcus_pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Pasteurella_multocida_subsp_multocida_str_Pm70_strainPm70,NC_002663.1,272843,Pasteurella_multocida,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria
Neisseria_gonorrhoeae_FA_1090_strainFA_1090,NC_002946.2,242231,Neisseria_gonorrhoeae,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
Lactococcus_lactis_subsp_lactis_Il1403_strainIL1403,NC_002662.1,272623,Lactococcus_lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Streptococcus_pneumoniae_TIGR4_strainTIGR4;_ATCC_BAA334,NC_003028.3,170187,Streptococcus_pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Caulobacter_vibrioides_CB15_strainCB15,NC_002696.2,190650,Caulobacter_vibrioides,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Shigella_flexneri_2a_str_301_strain301,NC_004337.2,198214,Shigella_flexneri,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2,NC_003197.2,99287,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Sinorhizobium_meliloti_1021_strain1021,NC_003047.1,266834,Sinorhizobium_meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Chlorobaculum_tepidum_TLS_strainTLS,NC_002932.3,194439,Chlorobaculum_tepidum,Chlorobaculum,Chlorobiaceae,Chlorobiales,Chlorobia,Chlorobi
Rickettsia_conorii_str_Malish_7_strainMalish_7,NC_003103.1,272944,Rickettsia_conorii,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Streptococcus_pneumoniae_R6_strainR6,NC_003098.1,171101,Streptococcus_pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Caldanaerobacter_subterraneus_subsp_tengcongensis_MB4_strainMB4,NC_003869.1,273068,Caldanaerobacter_subterraneus,Caldanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes
Zymomonas_mobilis_subsp_mobilis_ZM4__ATCC_31821_strainZM4,NC_006526.2,264203,Zymomonas_mobilis,Zymomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria
Brucella_melitensis_bv_1_str_16M_strain16M,NC_003317.1,224914,Brucella_melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Xanthomonas_campestris_pv_campestris_str_ATCC_33913_strainATCC_33913,NC_003902.1,190485,Xanthomonas_campestris,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Xanthomonas_citri_pv_citri_str_306_strain306,NC_003919.1,190486,Xanthomonas_citri,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Chlamydia_pneumoniae_TW183_strainTW183,NC_005043.1,182082,Chlamydia_pneumoniae,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Xylella_fastidiosa_Temecula1_strainTemecula1,NC_004556.1,183190,Xylella_fastidiosa,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria
Streptococcus_agalactiae_2603VR_strain2603VR,NC_004116.1,208435,Streptococcus_agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Streptococcus_pyogenes_MGAS8232_strainMGAS8232,NC_003485.1,186103,Streptococcus_pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586_strainATCC_25586,NC_003454.1,190304,Fusobacterium_nucleatum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
Buchnera_aphidicola_str_Sg_(Schizaphis_graminum)_strainSg,NC_004061.1,198804,Buchnera_aphidicola,Buchnera,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Streptococcus_pyogenes_MGAS315_strainMGAS315,NC_004070.1,198466,Streptococcus_pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Escherichia_coli_CFT073_strainCFT073,NC_004431.1,199310,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Streptococcus_mutans_UA159_strainUA159,NC_004350.2,210007,Streptococcus_mutans,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Tropheryma_whipplei_str_Twist_strainTwist,NC_004572.3,203267,Tropheryma_whipplei,Unclassified_Micrococcales,Unclassified_Micrococcales,Micrococcales,Actinobacteria,Actinobacteria
Brucella_suis_1330_strain1330,NC_004310.3,204722,Brucella_suis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Bifidobacterium_longum_NCC2705_strainNCC2705,NC_004307.2,206672,Bifidobacterium_longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
Salmonella_enterica_subsp_enterica_serovar_Typhi_str_Ty2_strainTy2,NC_004631.1,209261,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pseudomonas_putida_KT2440_strainKT2440,NC_002947.4,160488,Pseudomonas_putida,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Porphyromonas_gingivalis_W83_strainW83,NC_002950.2,242619,Porphyromonas_gingivalis,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
Chlamydia_caviae_GPIC,NC_003361.3,227941,Chlamydia_caviae,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Clostridium_tetani_E88_strainMassachusetts_substr_E88,NC_004557.1,212717,Clostridium_tetani,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes
Staphylococcus_epidermidis_ATCC_12228_strainATCC_12228,NC_004461.1,176280,Staphylococcus_epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Leifsonia_xyli_subsp_xyli_str_CTCB07_strainCTCB07,NC_006087.1,281090,Leifsonia_xyli,Leifsonia,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria
Leptospira_interrogans_serovar_Copenhageni_str_Fiocruz_L1130_strainFiocruz_L1130,NC_005823.1,267671,Leptospira_interrogans,Leptospira,Leptospiraceae,Leptospirales,Spirochaetia,Spirochaetes
Chromobacterium_violaceum_ATCC_12472_strainATCC_12472,NC_005085.1,243365,Chromobacterium_violaceum,Chromobacterium,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
Buchnera_aphidicola_str_Bp_(Baizongia_pistaciae)_strainBp_(Baizongia_pistaciae),NC_004545.1,224915,Buchnera_aphidicola,Buchnera,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Mannheimia_succiniciproducens_MBEL55E_strainMBEL55E,NC_006300.1,221988,Mannheimia_succiniciproducens,Basfia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria
Coxiella_burnetii_RSA_493_strainRSA_493,NC_002971.4,227377,Coxiella_burnetii,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria
Enterococcus_faecalis_V583_strainV583,NC_004668.1,226185,Enterococcus_faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes
Pseudomonas_syringae_pv_tomato_str_DC3000_strainDC3000,NC_004578.1,223283,Pseudomonas_syringae_group_genomosp_3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Bacillus_cereus_ATCC_14579_strainATCC_14579,NC_004722.1,226900,Bacillus_cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacillus_anthracis_str_Ames_strainAmes,NC_003997.3,198094,Bacillus_anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Mycobacterium_avium_subsp_paratuberculosis_K10_strainK10,NC_002944.2,262316,Mycobacterium_avium,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Yersinia_pestis_biovar_Microtus_str_91001_strain91001,NC_005810.1,229193,Yersinia_pestis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Helicobacter_hepaticus_ATCC_51449_strainATCC_51449,NC_004917.1,235279,Helicobacter_hepaticus,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Prochlorococcus_marinus_subsp_marinus_str_CCMP1375_strainCCMP1375;_SS120,NC_005042.1,167539,Prochlorococcus_marinus,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Cyanobacteria
Haemophilus_ducreyi_35000HP_strain35000HP,NC_002940.2,233412,Haemophilus_ducreyi,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria
Geobacter_sulfurreducens_PCA_strainPCA,NC_002939.5,243231,Geobacter_sulfurreducens,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria
Bacillus_cereus_ATCC_10987_strainATCC_10987,NC_003909.8,222523,Bacillus_cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Wolbachia_endosymbiont_of_Drosophila_melanogaster_strainwMel,NC_002978.6,163164,Wolbachia_endosymbiont_of_Drosophila_melanogaster,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Rickettsia_typhi_str_Wilmington_strainWilmington,NC_006142.1,257363,Rickettsia_typhi,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Lactobacillus_johnsonii_NCC_533_strainNCC_533,NC_005362.1,257314,Lactobacillus_johnsonii,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SCB67_strainSCB67,NC_006905.1,321314,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Thermus_thermophilus_HB27_strainHB27,NC_005835.1,262724,Thermus_thermophilus,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus
Brucella_abortus_bv_1_str_9941_strain9941,NC_006932.1,262698,Brucella_abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Bacillus_anthracis_str_Sterne_strainSterne,NC_005945.1,260799,Bacillus_anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Treponema_denticola_ATCC_35405_strainATCC_35405,NC_002967.9,243275,Treponema_denticola,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes
Mycoplasma_hyopneumoniae_J_strainJ,NC_007295.1,262719,Mycoplasma_hyopneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Mycoplasma_hyopneumoniae_7448_strain7448,NC_007332.1,262722,Mycoplasma_hyopneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Mycoplasma_synoviae_53_strain53,NC_007294.1,262723,Mycoplasma_synoviae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Listeria_monocytogenes_serotype_4b_str_F2365_strain4b_F2365,NC_002973.6,265669,Listeria_monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes
Mesoplasma_florum_L1_strainL1;_ATCC_33453,NC_006055.1,265311,Mesoplasma_florum,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes
Methylococcus_capsulatus_str_Bath_strainBath,NC_002977.6,243233,Methylococcus_capsulatus,Methylococcus,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria
Cutibacterium_acnes_KPA171202_strainKPA171202,NC_006085.1,267747,Cutibacterium_acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria
Mycoplasma_mobile_163K_strain163K,NC_006908.1,267748,Mycoplasma_mobile,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Wolbachia_endosymbiont_strain_TRS_of_Brugia_malayi,NC_006833.1,292805,Wolbachia_endosymbiont_of_Brugia_malayi,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Mycoplasma_hyopneumoniae_232_strain232,NC_006360.1,295358,Mycoplasma_hyopneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Bacillus_anthracis_str_'Ames_Ancestor'_strainAmes_Ancestor;_A2084,NC_007530.2,261594,Bacillus_anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Idiomarina_loihiensis_L2TR_strainL2TR,NC_006512.1,283942,Idiomarina_loihiensis,Idiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria
Legionella_pneumophila_subsp_pneumophila_str_Philadelphia_1_strainPhiladelphia_1,NC_002942.5,272624,Legionella_pneumophila,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria
Bacillus_thuringiensis_serovar_konkukian_str_9727_strain9727,NC_005957.1,281309,Bacillus_thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Helicobacter_pylori_26695_strain26695,NC_000915.1,85962,Helicobacter_pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Thermotoga_maritima_MSB8_strainMSB8,NC_000853.1,243274,Thermotoga_maritima,Thermotoga,Thermotogaceae,Thermotogales,Thermotogae,Thermotogae
Deinococcus_radiodurans_R1_strainR1,NC_001263.1,243230,Deinococcus_radiodurans,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus
Mycobacterium_tuberculosis_CDC1551_strainCDC1551,NC_002755.2,83331,Mycobacterium_tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Aquifex_aeolicus_VF5_strainVF5,NC_000918.1,224324,Aquifex_aeolicus,Aquifex,Aquificaceae,Aquificales,Aquificae,Aquificae
Borreliella_burgdorferi_B31_strainB31,NC_001318.1,224326,Borreliella_burgdorferi,Borreliella,Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetes
Chlamydia_trachomatis_DUW3CX_strainDUW3CX,NC_000117.1,272561,Chlamydia_trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
