Bacterial_Species,Prevalence,Cohort
Abiotrophia_defectiva,0.009900990099009901,American
Absiella_dolichum,0.9405940594059405,American
Acetanaerobacterium_elongatum,0.08415841584158416,American
Acetitomaculum_ruminis,0.09900990099009901,American
Acetivibrio_ethanolgignens,0.9702970297029703,American
Acholeplasma_axanthum,0.039603960396039604,American
Acholeplasma_brassicae,0.07425742574257425,American
Acholeplasma_equifetale,0.01485148514851485,American
Acholeplasma_hippikon,0.009900990099009901,American
Acholeplasma_modicum,0.039603960396039604,American
Acholeplasma_palmae,0.06930693069306931,American
Acidaminococcus_fermentans,0.08415841584158416,American
Acidaminococcus_intestini,0.24257425742574257,American
Acidaminococcus_timonensis,0.20297029702970298,American
Acidiphilium_angustum,0.0049504950495049506,American
Acidovorax_sp_KKS102,0.0049504950495049506,American
Actinomyces_dentalis,0.01485148514851485,American
Actinomyces_graevenitzii,0.21287128712871287,American
Actinomyces_hongkongensis,0.009900990099009901,American
Actinomyces_johnsonii,0.024752475247524754,American
Actinomyces_massiliensis,0.034653465346534656,American
Actinomyces_oris,0.07425742574257425,American
Actinomyces_pacaensis,0.23267326732673269,American
Actinomyces_sp_oral_taxon_414,0.0049504950495049506,American
Actinomyces_sp_oral_taxon_897,0.009900990099009901,American
Actinomyces_viscosus,0.01485148514851485,American
Acutalibacter_muris,0.48514851485148514,American
Adlercreutzia_equolifaciens,0.801980198019802,American
Aerococcus_christensenii,0.009900990099009901,American
Afipia_birgiae,0.009900990099009901,American
Afipia_broomeae,0.01485148514851485,American
Afipia_clevelandensis,0.0049504950495049506,American
Agathobaculum_desmolans,0.995049504950495,American
Aggregatibacter_aphrophilus,0.0891089108910891,American
Aggregatibacter_segnis,0.10396039603960396,American
Agrobacterium_larrymoorei,0.009900990099009901,American
Agrobacterium_rubi,0.0049504950495049506,American
Agrobacterium_vitis,0.009900990099009901,American
Akkermansia_glycaniphila,0.04950495049504951,American
Akkermansia_muciniphila,0.6336633663366337,American
Algoriella_xinjiangensis,0.0049504950495049506,American
Algoriphagus_faecimaris,0.0049504950495049506,American
Alistipes_finegoldii,1.0,American
Alistipes_ihumii,0.8910891089108911,American
Alistipes_indistinctus,0.7772277227722773,American
Alistipes_inops,0.8861386138613861,American
Alistipes_megaguti,0.9603960396039604,American
Alistipes_obesi,1.0,American
Alistipes_putredinis,1.0,American
Alistipes_senegalensis,0.9900990099009901,American
Alistipes_shahii,1.0,American
Alistipes_timonensis,0.9306930693069307,American
Alkalibacter_saccharofermentans,0.024752475247524754,American
Allisonella_histaminiformans,0.1485148514851485,American
Allobaculum_stercoricanis,0.019801980198019802,American
Alloprevotella_rava,0.1188118811881188,American
Alloprevotella_tannerae,0.6683168316831684,American
Alloscardovia_criceti,0.019801980198019802,American
Alloscardovia_omnicolens,0.034653465346534656,American
Altererythrobacter_marensis,0.0049504950495049506,American
Alterileibacterium_massiliense,0.6287128712871287,American
Anaerobium_acetethylicum,0.13366336633663367,American
Anaerobutyricum_hallii,0.995049504950495,American
Anaerococcus_lactolyticus,0.16336633663366337,American
Anaerococcus_mediterraneensis,0.0049504950495049506,American
Anaerococcus_obesiensis,0.10396039603960396,American
Anaerococcus_pacaensis,0.009900990099009901,American
Anaerococcus_prevotii,0.0049504950495049506,American
Anaerococcus_tetradius,0.009900990099009901,American
Anaerococcus_vaginalis,0.024752475247524754,American
Anaerocolumna_aminovalerica,0.18316831683168316,American
Anaerofustis_stercorihominis,0.1782178217821782,American
Anaeroglobus_geminatus,0.18811881188118812,American
Anaerolineaceae_bacterium_oral_taxon_439,0.0049504950495049506,American
Anaeromassilibacillus_senegalensis,0.400990099009901,American
