SampleName,Actinobacteria,Aquificae,Bacteroidetes,Candidatus_Saccharibacteria,Chlorobi,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Firmicutes,Fusobacteria,Lentisphaerae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Unclassified_Bacteria,Verrucomicrobia
ERR011089,0.016756152682741773,0.0,0.3610152947168915,1.021161719515326e-05,0.0,0.0,0.0,1.066858537571134e-05,0.0,0.0,0.5505894962284658,0.0,0.0009197388441725221,3.915482083074114e-05,0.017108494393138333,1.060212055394608e-05,0.0001953242318877536,4.624002054659781e-05,0.0,0.0014756765988290547,0.0497095072031514
ERR011090,0.012220320215131192,0.0,0.3451285584638607,2.1422082378497852e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5800099971045897,0.0,0.0006597312126579965,0.0,0.013430732088719059,1.0029200512386266e-05,0.00013636952707899333,3.085290671997229e-05,0.0,0.002052604024387305,0.0443150348455943
ERR011091,0.011610035645560903,0.0,0.3628116698748626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5610647332364653,0.0,0.0006253024789359875,0.0,0.013418100732764693,2.149806760357441e-05,0.00016255839911003567,0.0,0.0,0.0013667998277324214,0.047184468290094816
ERR011092,0.019262323437911927,0.0,0.4426519268658412,1.0452599798769845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.511140228357879,4.9929472532664116e-05,0.0,8.716859821965525e-05,0.024238810701304483,5.1923968316528276e-05,1.4052015405280752e-05,0.0,0.0,0.00010098866055246147,0.0
ERR011093,0.014045068654055108,0.0,0.4468235829619003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155201052131846,6.042985168112345e-05,0.0,0.0,0.02111636429089556,6.207266705115488e-05,0.0,0.0,0.0,0.00012221283361420047,0.0
ERR011094,0.01340905007627194,0.0,0.4931879992802846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4688663401945787,1.5511758982037058e-05,0.0,0.0,0.02224548101915171,4.570849619187384e-05,0.0,0.0,0.0,7.239836330132504e-05,0.0
ERR011101,0.002717451508633817,0.0,0.629449909332754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35738876722910073,0.0,0.00023864159446254136,0.0,0.0027612073805740735,0.0,0.0,3.1065056083580246e-05,0.0,0.005345349595411253,4.580794238555871e-05
ERR011102,0.0037395010348555526,0.0,0.643873573608123,1.4994403673462256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3409014990445042,0.0,0.0003510857401256196,0.0,0.004258755987913942,0.0,1.0410488318418504e-05,3.169695978156264e-05,0.0,0.004558163683737329,5.902257547527784e-05
ERR011103,0.003826023988875525,0.0,0.6417887637581583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34277363394039334,0.0,0.00036941192263859046,0.0,0.00442684738132176,0.0,0.0,2.647243171246823e-05,0.0,0.0045588295443488094,6.376449156652575e-05
ERR011104,0.004185189290870433,0.0,0.6449862008111864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33905241381013035,0.0,0.00040413748587279485,0.0,0.0048505967454201306,0.0,0.0,3.0044787418344526e-05,0.0,0.0042741329289495925,7.377924501084825e-05
