SampleName,Actinobacteria,Bacteroidetes,Candidatus_Gracilibacteria,Candidatus_Saccharibacteria,Chloroflexi,Cyanobacteria,Deinococcus-Thermus,Elusimicrobia,Firmicutes,Fusobacteria,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
SRR5898908,0.029198306626440934,0.7026707565660905,0.0,1.0374375273697889e-05,0.0,0.0,0.0,0.0004083899952038061,0.23793591133126044,0.0,0.0,4.054388883482971e-05,0.02549686435390455,0.0,0.0,0.0,4.075932325621263e-05,0.0
SRR5898909,0.015710563372541612,0.6344714088104426,0.0,0.0,0.0,0.0,0.0,0.0,0.3368178703806768,0.0020153231516431003,0.0,0.0,0.009107081585258508,0.0,0.0,0.0,0.0,0.0
SRR5898910,0.02644162661106795,0.6624493613384548,0.0,0.0,0.0,0.0,0.0,0.0,0.2999739619470677,0.0,0.0,0.0,0.007941471785977218,0.0,0.0,0.0,3.597038336452005e-05,0.0
SRR5898911,0.019442084813034357,0.761848469008423,0.0,1.9602892575910714e-05,0.0,0.0,0.0,0.0,0.19918930426250145,0.0,0.0,0.0,0.017094516582818364,0.0,0.0,0.0,5.9770520986199974e-05,0.0
SRR5898912,0.013460388774598639,0.8748249274459461,0.0,0.0,0.0,0.0,0.0,0.0,0.09352189307616546,0.0,0.0,0.0,0.015746819774199748,0.0,0.0,0.0,3.3156634514563645e-05,0.0
SRR5898913,0.006123250329403276,0.9114624573148495,0.0,0.0,0.0,0.0,0.0,0.0,0.0750504140465452,4.253335659777833e-05,0.0,0.0,0.005202298062467559,0.0,0.0,0.0,1.426299173478823e-05,1.0169647487291546e-05
SRR5898914,0.006500542406983272,0.8275002966642033,0.0,1.6237280276658887e-05,0.0,0.0,0.0,0.0,0.1334989985616064,4.1295598721748256e-05,0.0,0.0,0.02697124739435718,0.0,0.0,0.0,0.0,0.0028791906382403714
SRR5898915,0.023189817334064812,0.5723470155463276,0.0,0.0,0.0,0.0,0.0,5.9214232961946947e-05,0.38048208321386867,0.0,0.0,0.0,0.019941732580891297,0.0,0.0,1.2424367277978904e-05,4.187466152245811e-05,0.0
SRR5898916,0.01716812620145025,0.7717800161186789,0.0,0.0,0.0,0.0,0.0,0.0,0.1717742437291825,0.00027747362762468983,0.0,0.0,0.013581881406512689,0.0,0.0,0.0,0.0,0.023426089166410882
SRR5898917,0.032311200435561745,0.4883815791955965,0.0,0.0,1.0440930872640336e-05,1.0156563566251945e-05,1.1909273557155175e-05,0.0,0.4155003079724132,0.0,0.0,0.007609682869390178,0.04975406368721607,0.0,0.0,3.682942851903479e-05,0.0002100216292073258,0.0
SRR5898918,0.21845298281538544,0.13579125730177719,0.0,0.007021739001559071,0.0,0.0,0.0003539105807889867,0.0,0.5188815365348443,8.25265353368925e-05,0.0,0.0,0.11442917501969808,0.0,0.0,0.0,0.00038167948677034864,4.624155842866894e-05
SRR5898919,0.07723294760245147,0.3999904987371936,0.0,4.779806123195558e-05,0.0,0.0,0.0,0.0,0.5000801273079907,0.0,0.0,0.0,0.017233140833080595,0.0,0.00010929587840410922,0.0,0.00036514563425942687,0.0022401813683023
SRR5898920,0.06851407521141448,0.403489064405197,0.0,0.0,0.0,0.0,0.0,0.0,0.4417096193963607,0.0,0.0,0.0,0.08141007623645927,0.0,0.0,1.694360586848194e-05,3.728530478160658e-05,0.0
SRR5898921,0.19372105013704902,0.40958168201566997,0.0,2.998910417800103e-05,0.0,0.0,0.0,0.0,0.16496088770635162,0.0,0.0,0.00020460382925936886,0.21160510188990933,0.0,3.9928936967863114e-05,0.00015042159826519745,1.8410784128199646e-05,0.014640459893427304
SRR5898922,0.0544213892657167,0.5142211351742485,0.0,0.0,0.0,0.0,0.0,0.0,0.4038166304937139,0.001617579458965072,0.0,0.0,0.02364995482982597,0.0,0.0,0.0,1.7032571818695176e-05,0.0
SRR5898923,0.04031605617900913,0.7521514519616603,0.0,0.0,0.0,0.0,0.0,0.0,0.15444865237960304,0.0,0.0,0.0,0.04919711436604606,0.0,0.0,0.0,2.459349415408906e-05,0.0
SRR5898924,0.01353467223262136,0.8130140612283017,0.0,1.3109101330732238e-05,0.0,0.0,0.0,0.0,0.13575008523866378,5.928771096415746e-05,0.0,0.0,0.03435154661887736,0.0,0.0,0.0,3.2079511208718215e-05,0.0
SRR5898925,0.007370313344321434,0.9350771842913668,0.0,1.21862147526406e-05,0.0,0.0,0.0,0.0,0.049812492270950706,0.0,0.0,0.0,0.004821979337726728,0.0,0.0,0.0,0.0,0.0
SRR5898926,0.015153100047344555,0.741922292712856,0.0,0.0,0.0,0.0,0.0,0.00015637747803942298,0.15967860137697945,0.0,0.0,7.777100018795551e-05,0.07952271785984223,0.0,0.0,0.0,0.0,0.0
SRR5898927,0.030875188116352002,0.02946501237746036,0.0,1.5738622903459354e-05,0.0,0.0,0.0,0.0,0.8171638993126027,0.0,0.0,0.0,0.04610646654342597,1.1971968779862512e-05,4.4446783226013486e-05,0.0,0.0006304324205374781,0.07289348048548576
SRR5898928,0.0007113934667802107,0.8546480293849154,0.0,8.870301098248263e-05,0.0,0.0,0.0,0.0,0.12126385500395993,0.00017369740975187273,0.0,0.0,0.020902916489539725,0.0,0.0,0.0,0.000163832136032022,0.0
SRR5898929,0.006935081326114079,0.6757168153410416,0.0,0.0,0.0,0.0,0.0,0.0,0.2550010371783941,2.403348152650949e-05,0.0,0.0,0.05498425389383673,0.0,0.0,0.0,1.0587821496508252e-05,0.004615968650025773
SRR5898930,0.001927239933981996,0.6314451150114468,0.0,1.544680450569702e-05,0.0,0.0,0.0,0.0,0.3428255395489585,0.0,0.0,0.0,0.021131839412310775,0.0,0.0,0.0,2.0175389484519027e-05,0.000296504718674078
SRR5898931,0.01466465936271673,0.6250231725489337,0.0,0.0,0.0,0.0,0.0,0.0,0.2615783771103512,1.4322817490613827e-05,0.0,0.0,0.05486905311023488,0.0,0.0,0.0,3.8932989692470296e-05,0.04086680146332877
SRR5898932,0.00679719815647408,0.7279401166586602,0.0,1.0718122523528944e-05,0.0,0.0,0.0,0.0,0.2400053181590971,0.0004069004557905966,0.0,0.0,0.020320701554111947,0.0,0.0002718503025842434,0.0,0.0001195678246770676,0.0007075372924374651
SRR5898933,0.007599509577890528,0.6866703210653262,0.0,0.0,0.0,0.0,0.0,0.0,0.273679267531572,0.0032856337669753192,0.0,0.0,0.02640076835974542,0.0,0.0,0.0,4.701470782701292e-05,0.0
SRR5898934,0.011178376805020354,0.7004988369689851,0.0,5.109670475663967e-05,0.0,0.0,0.0,0.000557108934182167,0.2509029057270649,0.0,0.0,0.0002771995429093039,0.029112610490964783,0.0,4.224746133961535e-05,1.100350226223542e-05,0.00020375704072172782,0.002827906277297187
SRR5898935,0.009382316112438319,0.84033905896825,0.0,0.0,0.0,0.0,0.0,0.0,0.1241533140014588,0.0,0.0,0.0002895731512045333,0.019040978918422533,0.0,0.0,2.0038371417098405e-05,5.0193149563941966e-05,0.003365574949562435
