SampleName,Alistipes_finegoldii_DSM_17242_strainDSM_17242,Alistipes_obesi,Alistipes_putredinis_DSM_17216_strainDSM_17216,Alistipes_shahii_WAL_8301_strainWAL_8301,Anaerotruncus_colihominis_DSM_17241_strainDSM_17241,Angelakisella_massiliensis_strainMarseilleP3217,Bacteroides_barnesiae_DSM_18169__JCM_13652_strainDSM_18169,Bacteroides_caecimuris_strainI48,Bacteroides_coprocola_DSM_17136_strainDSM_17136,Bacteroides_dorei_CL03T12C01_strainCL03T12C01,Bacteroides_faecichinchillae_JCM_17102_strainJCM_17102,Bacteroides_fluxus_YIT_12057_strainYIT_12057,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_YCH46_strainYCH46,Bacteroides_helcogenes_P_36108_strainP_36108,Bacteroides_plebeius_DSM_17135_strainDSM_17135,Bacteroides_salanitronis_DSM_18170_strainDSM_18170,Bacteroides_salyersiae_WAL_10018__DSM_18765__JCM_12988_strainDSM_18765,Bacteroides_stercoris_ATCC_43183_strainATCC_43183,Blautia_obeum_ATCC_29174_strainATCC_29174,Blautia_obeum_strain2789STDY5608838,Butyricimonas_sp_H184_strainH184,Clostridiales_bacterium_CCNA10_strainCCNA10,Clostridium_phoceensis_strainGD3,Coprobacter_secundus_strain177,Coprococcus_comes_ATCC_27758_strainATCC_27758,Eubacterium_ramulus_ATCC_29099_strainATCC_29099,Eubacterium_rectale_ATCC_33656_strainATCC_33656,Flavonifractor_plautii_strainYL31,Fournierella_massiliensis_strainAM2,Fusicatenibacter_saccharivorans_strain2789STDY5608849,Lachnospiraceae_bacterium_GAM79_strainGAM79,Mediterranea_massiliensis_strainMarseilleP2645,Oscillibacter_sp_PEA192_strainPEA192,Parabacteroides_sp_CT06_strainCT06,Paraprevotella_xylaniphila_YIT_11841_strainYIT_11841,Pseudoflavonifractor_capillosus_ATCC_29799_strainATCC_29799,Roseburia_faecis_strain2789STDY5608863,Roseburia_inulinivorans_DSM_16841_strainDSM_16841,Ruminococcus_faecis_JCM_15917_strainJCM_15917,Ruminococcus_gnavus_AGR2154_strainAGR2154,Ruminococcus_lactaris_ATCC_29176_strainATCC_29176,Tyzzerella_nexilis_DSM_1787_strainDSM_1787
SRS011061,0.13952424896683632,0.028079218367530894,0.1678460902022524,0.12204242286232227,0.0028136339662785574,0.0025205042111479735,0.0005080851555601784,0.029500618123325932,0.0620842873529507,0.034278548566772316,0.0044894390224603075,0.003959753848630394,0.000789781996388367,0.0017617099063862239,0.00031404907299645556,0.08934209330128771,0.0008445738746841879,0.0037788644029766805,0.0032066511378337327,0.0012857227458860899,0.0011730369374629173,0.018452748947196135,0.00937916483940923,0.0013450020058994158,0.0018451351012908435,0.0009702704467602256,0.0025977240505034426,0.005437985985519661,0.0007480404963935823,0.001508710363573168,0.0034889925441353355,0.006739533204358131,0.035781335772459164,0.01181418878059124,0.18644717237968972,0.0011205205922314796,0.0016144681339924736,0.0017329711835590879,0.0028317219458797948,0.0024498137071277816,0.00012571077814807125,0.00045186945379802876,0.002973585265513422
SRS011084,0.12444820183725536,0.024960909552304955,0.19473034848306672,0.058615861787810815,0.0020102597976444855,0.0016985321079409875,0.00018636133441156665,0.007896073294879713,0.03570425995940317,0.02080580590161675,0.001268963913044898,0.0018550532489252315,0.0038060235976449318,0.0038546124549657546,0.0005142765123742494,0.010980986121198518,0.0005340565164721245,0.002367149369252598,0.39185254710978545,0.004070639717653221,0.003781544259173312,0.004613601808227953,0.004717782615732518,0.0008622022153057521,0.00041371019076773084,0.0009437347134334999,0.0011016559970440463,0.021882068075416646,0.0005573605731622925,0.000944232728636168,0.0029620520715658923,0.004658981425843293,0.0036754371037547606,0.004493708120198421,0.02666107106527427,0.0005898525932762331,0.0013535596972782168,0.00440838238712449,0.013668266182155164,0.0025552989461509086,0.00012304684556557527,0.0004109080226843233,0.002460619744577024
SRS011134,0.08177341209575835,0.05782097763173404,0.2358027205599372,0.07975764743939784,0.0030386737526773146,0.004899123529997106,0.0004300797491043908,0.01795720924171931,0.0030917138495289197,0.05184438189375231,0.01363435339845789,0.004254422387072102,0.0006411347523887677,0.0003644645846275549,0.0007942340881224385,0.002175618941324219,0.0009445438979321309,0.005673372315065866,0.005943411681538094,0.002896353772325485,0.011489579433683134,0.012384330254071832,0.009273335975721532,0.0029017735941632423,0.0004456825348295505,0.0022625794210475655,0.0037142733917942404,0.01095900785576396,0.0008612967805882281,0.002878119537469406,0.008800785094676068,0.1435156227971442,0.008067143125445216,0.00873085476595753,0.1348984011536596,0.0007117461648691357,0.0025313139074912604,0.027518583514705392,0.011469916576265648,0.010357012353233391,0.00032138922972759285,0.0031586888202845796,0.009010714154946408
SRS011239,0.008324322015242655,0.03654933825127713,0.29066574711764703,0.0573406677018873,0.0024670787029505707,0.0019398526720423139,0.0014615900634444288,0.014223373704020617,0.20916907407252242,0.028136970234492582,0.0054116614718000495,0.004746591500371335,0.0016784349381470467,0.0019301540398679574,0.000682698211609034,0.0011791142088610678,0.0017387140784569633,0.006303201401555848,0.0032627153882250582,0.0024570974977118276,0.002572663177926734,0.012677649784206005,0.002243221118594895,0.0025166534448171664,0.0012570665920975884,0.004250541356408531,0.0009220639780511234,0.03913769833727251,0.000572255428860829,0.0010915020914013282,0.002097756471909419,0.007696836124649995,0.0039215104505533884,0.005699170751115684,0.21211064482464262,0.0007144708558717572,0.0007512800604667217,0.006180118758845388,0.0028888913533809653,0.005463285188006869,0.00017329125047081347,0.004459208277751093,0.0009338230505652798
SRS011271,0.06978011417850083,0.012639270758691742,0.19607620367761855,0.017874274134253743,0.0022524772243845107,0.001342956345055013,0.0011932895059360757,0.03035154779511031,0.018165954488634367,0.017525719229753847,0.0013515798205501713,0.0027710026811715283,0.0010836063294721956,0.000407417010563894,0.000214977870849365,0.012079225891426076,0.0009706041786214272,0.03389920261120946,0.07631778012878787,0.017662328008220474,0.0053396816676207935,0.005993989812546366,0.011941028839364444,0.0021479790901426463,0.0001622993090459825,0.0032299994026457027,0.008191311393721588,0.22607931055912903,0.0005019082939672417,0.0008112317451413682,0.005586902416229902,0.07186518675586931,0.005646391655151751,0.00448747869890771,0.041439588630114356,0.0028920587108491737,0.0010583335613651582,0.06703348915629033,0.009920871269220137,0.007002296943699033,0.0007862411367257674,0.0012450727826500076,0.002677816300790611
SRS011302,0.03626469406786857,0.027059707376110992,0.23254072109705665,0.023375153524017915,0.020214717544220193,0.016768743233148094,0.0017766742820892853,0.010481409024350876,0.029955308656674572,0.018747791740522744,0.007526647804798192,0.01862439231824341,0.0005948722929568971,0.0023053987490726075,0.0005561781526340567,0.18411454212981912,0.002167250911070868,0.006792433676082104,0.09302570444886916,0.004535250677921482,0.01757217034449197,0.005537014301488686,0.02252409393301894,0.0035566644732058354,0.0002259845987819723,0.00828186392147311,0.013396469617959178,0.03952539979937125,0.0013252340344762656,0.007816611369508269,0.006019990339282914,0.022677354816801627,0.013669737309240853,0.008893428970494872,0.009959878166010808,0.0010273195769126124,0.00507394944472789,0.01645027363107988,0.03204536014805366,0.018832710824963624,0.0007818534028335225,0.0012162945551100772,0.006162750713184351
SRS011405,0.05176053215739105,0.015567799932041701,0.05964495961238385,0.04341899297926061,0.0017586575331835798,0.001079193218775534,0.001841114775412211,0.31327116898928964,0.08794207209231551,0.07272633742863197,0.00692694339087531,0.024309263951239276,0.0015491919542477963,0.003918173956682791,0.00432172171123651,0.03362907396303074,0.0005833354184512337,0.013121165002449857,0.06477926086001642,0.002732226106419724,0.001610538219162813,0.03193801507306327,0.003538630321981851,0.0019896127220123652,0.0011434371098098589,0.0019219887114305064,0.0009183843575852344,0.009759878718967314,0.0008716438702809591,0.0005341994880823772,0.008919093365951066,0.0527850113004239,0.010902761034804061,0.004509744014766075,0.013927049322253358,0.0029582441593628637,0.0007664369260355183,0.010400829906423558,0.03214675047997238,0.0009189332888441108,0.000940516705105744,0.00032201506616358507,0.0013951008041819008
SRS011529,0.013637338556418306,0.04188316134586612,0.10219439488858979,0.013318603133528877,0.0025322785120245887,0.0036918003435156784,0.0010666770651914786,0.12181073029775592,0.006866386063996183,0.0903215120803907,0.0055109105266360914,0.0035072976499085787,0.0004681985168821345,0.0009239685836222562,0.0009784472598428097,0.017143165352420442,0.006949165915672744,0.006484292506053296,0.12792252832953596,0.002666018575747253,0.005128068670016836,0.023281589732080492,0.005005629157576285,0.0012137382870599474,0.005926939904837008,0.005843585509753166,0.003159954272517163,0.03739716543903865,0.00040909245799728897,0.0012051079059019164,0.0026310907190290147,0.018947305986940163,0.13637737540096853,0.005652470521869694,0.03221669455042808,0.08136987408175164,0.002956223981073476,0.035022022812866545,0.01720915347018391,0.0060527551549102365,0.0003107503949522117,0.0008455286557444585,0.0019610074289039335
SRS011586,0.10293830566118131,0.0075789066878738974,0.016887631806492984,0.3508264799672187,0.013992490137975598,0.0039881993751542805,0.0009516484284662024,0.036181497265186845,0.05060669605338175,0.041237506768816386,0.0037371758753157406,0.01859222197226341,0.013487824612062032,0.02260649557805052,0.0005943211268789,0.03232275922541309,0.004217592061819514,0.007079785952314536,0.028892867006052283,0.015878261664092484,0.002108974009732902,0.015921126968227593,0.005795636804149932,0.005178415619409804,0.00041424832443671315,0.009184833126099634,0.003549267307198488,0.032347579964975906,0.00219935487634149,0.00302610256021856,0.006660934666140722,0.003541266831923745,0.0032405905871717103,0.006002236064842561,0.07263783980462922,0.0007915295692466105,0.0026014698729785895,0.0020528913155642816,0.004827676600808836,0.033955563914482234,0.0015456509115782302,0.006138477901786572,0.0036796651720451936
SRS012273,0.09216842980633216,0.0022643102454437203,0.21472709455243286,0.08402902106353533,0.007268897602910456,0.005631698937099076,0.00026449659155674914,0.002773505189641628,0.043846075909200366,0.16286085804303108,0.0029583330769445554,0.0022226037800933767,0.0014888344540894207,0.0006566929434877456,0.0006132302911002511,0.02106160959791673,7.320754702240916e-05,0.0025612845473800983,0.09313254255432886,0.009432639270011091,0.004284130068714019,0.0014927182174627287,0.004965262468899559,0.003887093271624775,0.0001727559334382776,0.015501578613263352,0.00938506430342555,0.008112241065692605,0.002055529902369666,0.002280303517743464,0.038423505713365017,0.004058821195621013,0.0015435992405800326,0.005844728747724709,0.040670467128244195,0.00026057680049503245,0.003590493734113352,0.02048435248969658,0.0043117761402283175,0.0033337057687856412,0.056969047141846516,0.014067418451418004,0.004269464081689719
