SampleName,Anaerotignum_lactatifermentans_DSM_14214_strainDSM_14214,Bacteroides_caecimuris_strainI48,Bacteroides_coprocola_DSM_17136_strainDSM_17136,Bacteroides_coprophilus_DSM_18228__JCM_13818_strainDSM_18228,Bacteroides_dorei_CL03T12C01_strainCL03T12C01,Bacteroides_fluxus_YIT_12057_strainYIT_12057,Bacteroides_fragilis_638R_strain638R,Bacteroides_pectinophilus_ATCC_43243_strainATCC_43243,Bacteroides_plebeius_DSM_17135_strainDSM_17135,Bacteroides_thetaiotaomicron_strain7330,Bacteroides_vulgatus_strainmpk,Blautia_hansenii_DSM_20583_strainDSM_20583,Blautia_obeum_ATCC_29174_strainATCC_29174,Blautia_sp_N6H115_strainKCTC_15426,Clostridiales_bacterium_CCNA10_strainCCNA10,Clostridium_glycyrrhizinilyticum_JCM_13369_strainJCM_13369,Coprococcus_comes_ATCC_27758_strainATCC_27758,Dorea_formicigenerans_ATCC_27755_strainATCC_27755,Dorea_longicatena_DSM_13814_strainDSM_13814,Eubacterium_hallii,Eubacterium_ramulus_ATCC_29099_strainATCC_29099,Eubacterium_rectale_ATCC_33656_strainATCC_33656,Faecalibacterium_prausnitzii_strainA2165,Faecalicatena_contorta_strain2789STDY5834876,Fournierella_massiliensis_strainAM2,Fusicatenibacter_saccharivorans_strain2789STDY5608849,Lachnospiraceae_bacterium_Choco86_strainChoco86,Lachnospiraceae_bacterium_GAM79_strainGAM79,Parabacteroides_johnsonii_CL02T12C29_strainCL02T12C29,Roseburia_faecis_strain2789STDY5608863,Roseburia_hominis_A2183_strainA2183,Roseburia_inulinivorans_DSM_16841_strainDSM_16841,Ruminococcus_faecis_JCM_15917_strainJCM_15917,Ruminococcus_gnavus_AGR2154_strainAGR2154,Ruminococcus_lactaris_ATCC_29176_strainATCC_29176,Ruminococcus_torques_ATCC_27756_strainATCC_27756,Tyzzerella_nexilis_DSM_1787_strainDSM_1787
DRR127524,0.0006132805453758255,0.005601865697077095,0.06333379068536783,0.026378782949600634,0.0037870923196790165,0.00207696237612954,0.005705056931072614,0.004306661027621174,0.07158092892328034,0.004501662188518542,0.026282063634118124,0.0016684000239616877,0.005091382983210826,0.0004325482499848234,0.010863472854073119,0.0008881154772260837,0.024049033741255364,0.01042957887995968,0.011249840460249695,0.001372075310609515,0.008518658580582757,0.29852898395890726,0.17287255084560219,0.0002990426874382489,0.0020311988368105355,0.013932437031628182,0.0019363353284851433,0.09342621341693251,0.019021801232855573,0.01736900571777479,0.010762747820161322,0.04344230438156746,0.026071694540405244,0.0009687129584530718,0.003197137893283047,0.001626058321747399,0.005782521188993755
DRR127532,0.000372837960318758,0.0018698399584716127,0.03461597727690485,0.004635004115202927,0.13800425869047594,0.008139491956795763,0.000617311242623768,0.002222141109293289,0.009097660039631004,0.01187944548153809,0.03295533341606415,0.0033277267786270366,0.01730814860112181,0.0034477070880844815,0.002487081629318911,0.002895234600490006,0.044045206760516355,0.0032130236825554533,0.08149935185327128,0.007141052513830848,0.003306803726335099,0.0017318494358871464,0.00752812576983395,0.0011687726370473424,0.0015065239852411394,0.01320356395693666,0.004429229916651747,0.008857100648849352,0.007620908224345665,0.0018469452711449928,0.002128287418632021,0.028084568390112773,0.006193985044140286,0.18106967167482302,0.003541615953522963,0.31181682279857637,0.00619139039278317
DRR127535,0.0006949922611610756,0.002943877868413746,0.10582144798489569,0.11910845414089273,0.008102189794929786,0.004184103996964872,0.0005964055721927547,0.0014637477669239417,0.11087213132104418,0.006833392964655784,0.0011516930531762929,0.007615354715408823,0.015119663287395342,0.0006847269610996973,0.0067837869303563674,0.002856313047970184,0.029694572884066173,0.014039506568403212,0.009237042048942904,0.01764817488915186,0.008354458540170598,0.008228001157038664,0.12911399808961155,0.000376557775678155,0.0017937162437984188,0.036311288818646696,0.0040245701225783805,0.01879378375625399,0.029910049848633477,0.0031648862240295493,0.015370095509165606,0.10239234486420533,0.1529044563242007,0.0026903189665517684,0.003375723263384372,0.009652671856299378,0.008091500581707938
DRR127537,0.0002280010652218315,0.0052396111476983856,0.018275510438799093,0.008317094273257436,0.036146733127814565,0.00022269747176847026,0.00040436244929606375,0.0015407898836080976,0.0004954270843412547,0.0017432448018763359,0.5038161758397117,0.002724504506051525,0.014653423388250162,0.0026920786968618773,0.0026721703180483157,0.004498615902462301,0.0013602171204733242,0.024279446357006972,0.05178544147384605,0.007505465223551143,0.009724938924320345,0.037753365639373294,0.027660032767322464,0.0002046206189356093,0.001935733710443118,0.02624370950817495,0.0010938400062242377,0.001944875963119964,0.005161672278231391,0.010471027389487627,0.0012270276857250283,0.01996326979238696,0.029127286542712884,0.1310549258524813,0.0010910290123315744,0.0002744208911830744,0.00646721284760119
DRR127546,0.0008346040618651362,0.005150746387408218,0.24831518841707478,0.030734519283644148,0.027106598996560035,0.01238733799542115,0.00031670218271229953,0.0030003591218724056,0.2594939313619622,0.02383906432892753,0.06438441110909407,0.0008955145194645075,0.0027242191666684433,0.0003968571761958097,0.011397576919314697,0.0006553223796811014,0.004011084179016945,0.0031098607187962156,0.003602241618563844,0.0016792231120556652,0.004065414914678914,0.05305916010520348,0.038692930540686454,0.0011569016527664332,0.0005383613057039707,0.008619444215410207,0.002568483502511201,0.08090972149361828,0.0009593035071914945,0.0059812904992736565,0.00892056541603968,0.04954483664719197,0.027042084939803444,0.0002691824218713539,0.001229150417266013,0.00736322159458861,0.005044583789895647
DRR127552,0.0003000696217673317,0.012804797689996114,0.04567943602206047,0.12094251762051361,0.024283957929356576,0.011453850055525851,0.006479391665848628,0.0007868501076046175,0.3160542241914875,0.014877721499470902,0.2434025841144465,0.005899057221261148,0.0016927276929760645,0.0019627371766960796,0.01979988326736869,0.0014917967949538715,0.0009805955100312717,0.0011064373131100787,4.9484262183215306e-05,0.0006325493689514079,0.0016129465353449425,0.00116441664801236,0.029974863953746697,0.00016754928643671028,0.00036187869208351473,0.04056554332462466,0.0007952273298514956,0.0020129842838082436,0.004364841861464578,0.0007668861736836913,0.0007921808009733141,0.0007828451676224374,0.0013418699524075843,0.05573583680878021,0.0002754867654398667,0.007624482554852702,0.02097949073525673
DRR127583,0.0006738138164478144,0.017642111779214615,0.07913929732671607,0.007929530185697307,0.3758822786748325,0.03096360332418,0.002067715062973786,0.002865834011725422,0.03631903925130951,0.02570914327889935,0.03120608904281685,0.001570467606562646,0.014930510770165849,0.0006108491745302856,0.030946770073523304,0.0013971118711052948,0.010988056589582709,0.01267272603026178,0.00718000761095822,0.007403921729128317,0.006301912243966057,0.022647240799492433,0.07228484340041505,0.0012237392326577548,0.0021221665945564106,0.019419830798245576,0.0019167953699297626,0.13009607058273587,0.0007049903125017501,0.0032160881391337655,0.00425483122072604,0.0074642694958070716,0.009182540030502957,0.0005594897813127596,0.0009836871074983848,0.013644802736013198,0.0058778249438732905
DRR127588,0.0033406214667950395,0.07614676097112175,0.08869657235775548,0.015197451790199898,0.2562613229904238,0.008553976436252199,0.0002639228704847876,0.0026573488078976207,0.04072016459688712,0.026780252010052855,0.00685440504063485,0.0016262847506412987,0.037718770761715766,0.0018851528572232617,0.0014112378451101963,0.0022856627116722194,0.0027273452720315713,0.007436661176769954,0.0030254967238646977,0.010147611333504704,0.0012129377772411565,0.13572432034296952,0.02323497846505301,0.0011293114868531765,0.004123611265955128,0.002312938007002867,0.0009171618301501701,0.060221746901236384,0.0001705521700125766,0.07418619881377862,0.003592356962023963,0.0038071353897821186,0.0027650967986766408,0.019605572612155675,0.06408256376011692,0.0020452424568804723,0.007131252189072341
DRR127596,0.00015954840259856546,0.009741665453211144,0.011963089885882783,0.0018414473737078604,0.003774269891818076,0.0023209885836385264,0.000130788527900466,0.006915156983630947,0.008713924392037175,0.03524926210037396,0.03880121921818228,0.001431471317251748,0.014008803772082112,0.0019154104116640093,0.004883758052402218,0.005105227150030228,0.005263235631242983,0.008064811116319829,0.0017079554716551125,0.0033239482493010357,0.02051499271368373,0.3606885520883043,0.06863427813917945,0.0005008862536317307,0.0006028255518526442,0.09741463944299131,0.005227914589898177,0.009977511486004679,0.00875065278588145,0.008553909162065425,0.01353333805909955,0.009136117678424833,0.006817208251661203,0.19677313232869142,0.0017249418264881431,0.013977318791630793,0.011855798865580029
DRR127597,0.00380939642215561,0.00506475677948447,0.07347974237967253,0.013311993040042247,0.015407785221337882,0.009605852482944219,0.0003526500480524149,0.008499592526534675,0.11983895735320976,0.011762916230425838,0.09367089635878537,0.0011962324063347041,0.025215879941549002,0.0005139808825866214,0.011831658539040597,0.003157773160594846,0.012733913204560042,0.008090814212836299,0.016297772095931373,0.003820835548190609,0.006860426489278693,0.17250262508946765,0.13768607108649053,0.0012326358515187016,0.003684883497159005,0.02304489817823065,0.0028002126451828592,0.056782702557541406,0.01111829031161709,0.004693046532318222,0.004175111706946576,0.09085161239047053,0.008054534066992358,0.0012484576854373867,0.02263214410391151,0.009095845435943033,0.005873103537224732
