Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Clostridium_saccharogumia,5.791871081089434e-05,0,0,0,0,0.0,0.0,0.0,0.0,American
Holdemania_massiliensis,0.000135536970807888,0,0,0,0,0.0,0.0,0.0,0.0,American
Faecalicatena_contorta,0.00011008326967179905,0,0,0,0,0.0,0.0,0.0,0.0,American
Dorea_longicatena,0.0012219179622628728,0,0,0,0,0.0,0.0,0.0,0.0,American
Mogibacterium_diversum,8.364328378838491e-06,0,0,0,0,0.0,0.0,0.0,0.0,American
Prevotella_bivia,0.0003269697051882252,0,0,0,0,0.0,0.0,0.0,0.0,American
Lachnoanaerobaculum_saburreum,2.482991647620928e-05,0,0,0,0,0.0,0.0,0.0,0.0,American
Streptococcus_parasanguinis,0.00012491057506600374,1,1,0,0,0.004975124378109453,0.0,1.5,0.0,American
Ruminococcus_lactaris,0.001163289372706827,0,0,0,0,0.0,0.0,0.0,0.0,American
Merdibacter_massiliensis,0.0001376620028865081,0,0,0,0,0.0,0.0,0.0,0.0,American
Bacteroides_zoogleoformans,0.00010511993850938424,3,3,0,1,0.014925373134328358,0.3333333333333333,27.966666666666637,1.800521203506278e-05,American
Hespellia_stercorisuis,2.973142523961954e-05,0,0,0,0,0.0,0.0,0.0,0.0,American
Coprococcus_eutactus,0.0013311308169580527,0,0,0,0,0.0,0.0,0.0,0.0,American
Parabacteroides_johnsonii,0.01586437003457386,5,5,0,6,0.02487562189054726,0.6,30.133333333333304,5.0635710337202875e-05,American
Bittarella_massiliensis,6.907336945959702e-05,2,2,0,0,0.009950248756218905,0.0,2.0,4.9751243781094526e-05,American
Bacteroides_helcogenes,0.0003515069861677081,18,18,0,97,0.08955223880597014,0.6339869281045751,40.8666666666667,0.002606822230539419,American
Ruminococcus_champanellensis,0.0002544221367284125,1,1,0,0,0.004975124378109453,0.0,16.63452380952379,0.0,American
Clostridium_bolteae,0.0004072240965584779,7,7,0,9,0.03482587064676617,0.42857142857142855,29.016666666666637,0.003960833335796754,American
Phascolarctobacterium_succinatutens,0.0009528900170241085,0,0,0,0,0.0,0.0,0.0,0.0,American
Negativibacillus_massiliensis,0.0009734258259598746,1,1,0,0,0.004975124378109453,0.0,1.0,0.0,American
Bacteroides_heparinolyticus,0.00016320055191617922,2,2,0,1,0.009950248756218905,1.0,21.726190476190478,0.0,American
Mediterranea_massiliensis,0.0036422545528589185,18,18,0,77,0.08955223880597014,0.5032679738562091,40.1166666666667,0.007023313441006369,American
Coprobacter_fastidiosus,0.001496607324441888,0,0,0,0,0.0,0.0,0.0,0.0,American
Odoribacter_laneus,0.0017640898807846476,0,0,0,0,0.0,0.0,0.0,0.0,American
Alistipes_timonensis,0.0009411068220979215,3,3,0,1,0.014925373134328358,0.3333333333333333,19.409523809523808,0.003432835820895522,American
Solobacterium_moorei,6.687024511528141e-05,0,0,0,0,0.0,0.0,0.0,0.0,American
Collinsella_aerofaciens,0.0017902434263220668,0,0,0,0,0.0,0.0,0.0,0.0,American
Bacteroides_fragilis,0.012994174376962658,19,19,0,81,0.0945273631840796,0.47368421052631576,41.45000000000003,0.004486098484859768,American
Rikenella_microfusus,0.00016737103505112022,0,0,0,0,0.0,0.0,0.0,0.0,American
Roseburia_inulinivorans,0.0047871127034222975,1,1,0,0,0.004975124378109453,0.0,25.88333333333332,0.0,American
Clostridium_innocuum,0.0002060793829763662,0,0,0,0,0.0,0.0,0.0,0.0,American
Lactobacillus_ruminis,7.232670212456037e-05,0,0,0,0,0.0,0.0,0.0,0.0,American
Emergencia_timonensis,0.00027252484366600935,0,0,0,0,0.0,0.0,0.0,0.0,American
Parabacteroides_goldsteinii,0.0005390715065564863,5,5,0,6,0.02487562189054726,0.6,31.14999999999997,8.412738763254788e-05,American
Acetivibrio_ethanolgignens,0.0003766108228460992,0,0,0,0,0.0,0.0,0.0,0.0,American
Ruminococcus_torques,0.004528880676933491,0,0,0,0,0.0,0.0,0.0,0.0,American
