Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Clostridium_saccharogumia,0.0005413467575756162,0,0,0,0,0.0,0.0,0.0,0.0,European
Holdemania_massiliensis,0.00012787959447961285,1,1,0,0,0.004975124378109453,0.0,30.233333333333352,0.0,European
Faecalicatena_contorta,0.00025198083562273063,5,5,0,3,0.02487562189054726,0.3,45.833333333333336,0.0057971610717058655,European
Dorea_longicatena,0.008200671466652017,0,0,0,0,0.0,0.0,0.0,0.0,European
Mogibacterium_diversum,2.7267355400007653e-05,0,0,0,0,0.0,0.0,0.0,0.0,European
Prevotella_bivia,0.00043228579699367133,3,1,2,1,0.014925373134328358,0.3333333333333333,36.67380952380947,0.01625981415171132,European
Lachnoanaerobaculum_saburreum,0.0001373147089875007,14,13,1,27,0.06965174129353234,0.2967032967032967,52.342857142857234,0.01435159841682245,European
Streptococcus_parasanguinis,0.0012621623532125933,2,2,0,1,0.009950248756218905,1.0,2.0,0.0,European
Ruminococcus_lactaris,0.005333950760905533,4,4,0,3,0.01990049751243781,0.5,43.045238095238076,0.006567164179104477,European
Merdibacter_massiliensis,0.0003704192940833018,0,0,0,0,0.0,0.0,0.0,0.0,European
Bacteroides_zoogleoformans,0.000129309426965152,6,6,0,6,0.029850746268656716,0.4,44.666666666666664,0.0033671366540016976,European
Hespellia_stercorisuis,8.298144227089787e-05,10,10,0,20,0.04975124378109452,0.4444444444444444,52.15000000000011,0.008574073742255465,European
Coprococcus_eutactus,0.005905170516382101,1,0,1,0,0.004975124378109453,0.0,30.233333333333352,0.0,European
Parabacteroides_johnsonii,0.006712955072679146,1,1,0,0,0.004975124378109453,0.0,31.057142857142868,0.0,European
Bittarella_massiliensis,0.0001044192658593272,3,0,3,3,0.014925373134328358,1.0,42.378571428571405,0.0,European
Bacteroides_helcogenes,0.0002310060397547831,13,13,0,25,0.06467661691542288,0.32051282051282054,52.38333333333344,0.03540480368525364,European
Ruminococcus_champanellensis,0.0013704630902078776,1,1,0,0,0.004975124378109453,0.0,1.0,0.0,European
Clostridium_bolteae,0.000982015671729765,9,9,0,15,0.04477611940298507,0.4166666666666667,52.56666666666675,0.045560649647197034,European
Phascolarctobacterium_succinatutens,0.007037491510939145,0,0,0,0,0.0,0.0,0.0,0.0,European
Negativibacillus_massiliensis,0.0025034591091383095,3,3,0,2,0.014925373134328358,0.6666666666666666,35.58333333333332,9.752823185659006e-05,European
Bacteroides_heparinolyticus,0.0002941482724328618,0,0,0,0,0.0,0.0,0.0,0.0,European
Mediterranea_massiliensis,0.007385254397413598,3,3,0,1,0.014925373134328358,0.3333333333333333,34.21309523809521,0.011742693862485986,European
Coprobacter_fastidiosus,0.002397961387987864,0,0,0,0,0.0,0.0,0.0,0.0,European
Odoribacter_laneus,0.00020074929801560835,0,0,0,0,0.0,0.0,0.0,0.0,European
Alistipes_timonensis,0.0004702698151943637,1,1,0,0,0.004975124378109453,0.0,26.04206349206348,0.0,European
Solobacterium_moorei,0.0001603813378131048,0,0,0,0,0.0,0.0,0.0,0.0,European
Collinsella_aerofaciens,0.0015296668144165408,1,1,0,0,0.004975124378109453,0.0,32.404761904761926,0.0,European
Bacteroides_fragilis,0.006716880194991004,3,3,0,3,0.014925373134328358,1.0,38.91428571428568,0.0,European
Rikenella_microfusus,0.00030744818799954837,0,0,0,0,0.0,0.0,0.0,0.0,European
Roseburia_inulinivorans,0.013437371628574337,14,13,1,23,0.06965174129353234,0.25274725274725274,52.759523809523905,0.011721014874216786,European
