Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Clostridium_saccharogumia,2.346497495223264e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Holdemania_massiliensis,0.0003377406255438702,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Faecalicatena_contorta,0.00013617405575558258,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Dorea_longicatena,0.00308454338218601,4,4,0,6,0.01990049751243781,1.0,28.9690476190476,0.0,Indian
Mogibacterium_diversum,1.0026920769439068e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Prevotella_bivia,0.001793392110054734,6,6,0,11,0.029850746268656716,0.7333333333333333,30.866666666666635,0.00032061912658927586,Indian
Lachnoanaerobaculum_saburreum,2.65318027315643e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Streptococcus_parasanguinis,0.00029756416890868966,3,3,0,3,0.014925373134328358,1.0,3.5,0.0,Indian
Ruminococcus_lactaris,0.0011273595037907449,8,8,0,25,0.03980099502487562,0.8928571428571429,33.0333333333333,4.463442198679058e-05,Indian
Merdibacter_massiliensis,4.87432330974899e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Bacteroides_zoogleoformans,8.239734996871165e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Hespellia_stercorisuis,2.6521690736367042e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Coprococcus_eutactus,0.0016655697059262246,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Parabacteroides_johnsonii,0.0018471599494600545,3,3,0,1,0.014925373134328358,0.3333333333333333,3.0,9.950248756218905e-05,Indian
Bittarella_massiliensis,0.00016338529840639846,1,1,0,0,0.004975124378109453,0.0,1.0,0.0,Indian
Bacteroides_helcogenes,3.122215779193202e-05,3,3,0,0,0.014925373134328358,0.0,4.283333333333334,0.0005472636815920397,Indian
Ruminococcus_champanellensis,0.00021887328800013865,2,1,1,0,0.009950248756218905,0.0,25.169047619047625,0.003980099502487562,Indian
Clostridium_bolteae,0.0007489849919118478,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Phascolarctobacterium_succinatutens,0.0011017500485625109,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Negativibacillus_massiliensis,0.00048695519170459677,3,1,2,1,0.014925373134328358,0.3333333333333333,29.81666666666664,0.003980099502487562,Indian
Bacteroides_heparinolyticus,4.5284406862518735e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Mediterranea_massiliensis,0.011067813881044506,18,18,0,38,0.08955223880597014,0.24836601307189543,42.93333333333338,0.035733181091810035,Indian
Coprobacter_fastidiosus,8.602927104406123e-05,1,1,0,0,0.004975124378109453,0.0,2.95,0.0,Indian
Odoribacter_laneus,3.623350315373841e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Alistipes_timonensis,0.0001255690367341524,0,0,0,0,0.0,0.0,0.0,0.0,Indian
Solobacterium_moorei,3.4324237850479376e-05,0,0,0,0,0.0,0.0,0.0,0.0,Indian
