"","Butyrivibrio_crossotus","Alistipes_shahii","Bifidobacterium_catenulatum","Bacteroides_salanitronis","Ruminococcus_faecis","Parabacteroides_johnsonii","Bacteroides_vulgatus","Barnesiella_viscericola","Ruminococcus_bromii","Mordavella_sp_Marseille.P3756","Escherichia_coli","Faecalicoccus_pleomorphus","Catenibacterium_mitsuokai","Intestinibacter_bartlettii","Levyella_massiliensis","Alistipes_inops","Bittarella_massiliensis","bacterium_LF.3","Eggerthella_lenta","Parasutterella_excrementihominis","Ruminococcus_torques","Butyricicoccus_pullicaecorum","Ruminococcus_lactaris","Dialister_sp_Marseille.P5638","Monoglobus_pectinilyticus","Eisenbergiella_tayi","Clostridium_scindens","Coprococcus_eutactus","Holdemanella_biformis","Bacteroides_heparinolyticus","Bacteroides_helcogenes","Blautia_schinkii","Clostridium_phoceensis","Collinsella_aerofaciens","Eubacterium_nodatum","Mogibacterium_diversum","Eubacterium_ramulus","Agathobaculum_desmolans","Bacteroides_stercoris","Alistipes_finegoldii","Clostridioides_difficile","Bacteroides_caecimuris","Blautia_producta","Bifidobacterium_longum","Clostridium_saccharogumia","Parabacteroides_goldsteinii","Eubacterium_uniforme","Eubacterium_coprostanoligenes","Catonella_morbi","Blautia_sp_N6H1.15","Alistipes_megaguti","Dorea_longicatena","Ruminococcus_flavefaciens","Ruminococcus_champanellensis","Johnsonella_ignava","Sellimonas_intestinalis","Christensenella_massiliensis","Anaerostipes_hadrus","Blautia_hansenii","Clostridium_citroniae","Prevotella_timonensis","Bifidobacterium_pseudocatenulatum","Clostridium_methylpentosum","Stomatobaculum_longum","Mageeibacillus_indolicus","Streptococcus_sp_FDAARGOS_192","Flavonifractor_plautii","Hespellia_stercorisuis","Prevotella_bivia","Blautia_hydrogenotrophica","Bacteroides_plebeius","Anaerotruncus_colihominis","Anaerobutyricum_hallii","Prevotella_multisaccharivorax","Ruminococcus_callidus","Eubacterium_eligens","Bacteroides_cellulosilyticus","Massilioclostridium_coli","Anaerotignum_neopropionicum","Prevotella_stercorea","Neglecta_timonensis","Barnesiella_intestinihominis","Haemophilus_parainfluenzae","Streptococcus_parasanguinis","Roseburia_inulinivorans","Lachnospiraceae_bacterium_GAM79","Phascolarctobacterium_succinatutens","Negativibacillus_massiliensis","Prevotella_buccalis","Clostridium_innocuum","Parabacteroides_sp_CT06","Acetivibrio_ethanolgignens","Intestinimonas_butyriciproducens","Culturomica_massiliensis","Prevotella_ihumii","Faecalicatena_contorta","Ruminococcus_gnavus","Prevotella_copri","Alistipes_ihumii","Bacteroides_fragilis","Bacteroides_thetaiotaomicron","Lactobacillus_ruminis","Lactonifactor_longoviformis","Bacteroides_barnesiae","Ruminococcus_bicirculans","Clostridium_leptum","Hungatella_hathewayi","Coprobacter_secundus","Bacteroides_fluxus","Rikenella_microfusus","Holdemania_massiliensis","Prevotellamassilia_timonensis","Eubacterium_oxidoreducens","Alistipes_putredinis","Emergencia_timonensis","Bacteroides_reticulotermitis","Cellulomonas_carbonis","Gemmiger_formicilis","Bacteroides_salyersiae","Massilimaliae_massiliensis","Intestinibacillus_massiliensis","Butyricimonas_synergistica","Bacteroides_pyogenes","Butyricimonas_faecalis","Bacteroides_uniformis","Fournierella_massiliensis","Prevotella_disiens","Eubacterium_ventriosum","Lachnospira_multipara","Streptococcus_salivarius","Christensenella_minuta","Alistipes_senegalensis","Alistipes_obesi","Pseudoflavonifractor_capillosus","Bacteroides_faecichinchillae","Clostridium_bolteae","Bacteroides_nordii","Lachnospiraceae_bacterium_Choco86","Merdimonas_faecis","Odoribacter_laneus","Ruthenibacterium_lactatiformans","Odoribacter_splanchnicus","Paraprevotella_xylaniphila","Granulicatella_adiacens","Bacteroides_dorei","Alistipes_timonensis","Subdoligranulum_variabile","Traorella_massiliensis","Clostridium_saccharolyticum","Veillonella_dispar","Schaalia_odontolytica","Coprobacter_fastidiosus","Solobacterium_moorei","Clostridium_sp_SY8519","Massilimicrobiota_timonensis","Eubacterium_plexicaudatum","Bifidobacterium_adolescentis","Clostridium_symbiosum","Tyzzerella_nexilis","Clostridiales_bacterium_CCNA10","Parabacteroides_distasonis","Marvinbryantia_formatexigens","Anaerotignum_lactatifermentans","Clostridium_glycyrrhizinilyticum","Angelakisella_massiliensis","Clostridium_asparagiforme","Oscillibacter_ruminantium","Blautia_obeum","Faecalitalea_cylindroides","Bacteroides_coprophilus","Fusicatenibacter_saccharivorans","Clostridium_sporogenes","Roseburia_faecis","Streptococcus_thermophilus","Bacteroides_caccae","Merdibacter_massiliensis","Faecalibaculum_rodentium","Mediterranea_massiliensis","Roseburia_intestinalis","Dorea_formicigenerans","Lactobacillus_rogosae","Bacteroides_coprocola","Bacteroides_ovatus","Bacteroides_pectinophilus","Roseburia_hominis","Streptococcus_sp_oral_taxon_431","Erysipelotrichaceae_bacterium_GAM147","Coprococcus_comes","Faecalibacterium_prausnitzii","Lachnoclostridium_phocaeense","Absiella_dolichum","Lachnoclostridium_sp_YL32","Provencibacterium_massiliense","Oscillibacter_sp_PEA192","Bariatricus_massiliensis","Lachnoanaerobaculum_saburreum","Phocea_massiliensis","Eubacterium_rectale","Bacteroides_zoogleoformans","Streptococcus_sp_A12","Eubacterium_siraeum","Clostridium_aminophilum"
"Butyrivibrio_crossotus",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415316195243983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15743514431488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583421209757485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256451202177897,0,0,0,0,0,0,0,0,0.0509824336662219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237281388795793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116382676320934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salanitronis",0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181844559192231,0,0,0,0.0700684416571954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889831522418125,0,0,0,0.0362839616900323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_faecis",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0558841933566223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106574518329125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765552224982679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153374446167246,0,0,0,0,0,0,0,0,0,0,0,0.0358580540447268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853342500967691,0,0,0,0,0,0,0,0,0,0.0417687901511744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570881364845402,0,0,0,0.0886119836594729,0,0,0,0,0,0,0,0.123070364884316,0,0,0,0,0,0,0,0.078133015131025,0,0,0,0,0,0,0,0.0553300611096857,0,0.0580448796686647,0,0,0,0
"Parabacteroides_johnsonii",0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466237979385136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_vulgatus",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406140530400347,0,0,0,0,0,0.0376907487886474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622208729561706,0,0,0,0,0,0,0,0.0496147136876883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107494801057879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487795358143981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesiella_viscericola",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871326436135167,0,0,0,0.0546634218696323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625687981891827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordavella_sp_Marseille.P3756",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781006718569306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
