Bacteria,ID
Mogibacterium_diversum,Top-20 FI
Schaalia_odontolytica,Top-20 FI
Anaerotruncus_colihominis,Top-20 FI
Alistipes_obesi,Top-20 FI
Neglecta_timonensis,Top-20 FI
Dialister_sp_Marseille-P5638,Top-20 FI
Alistipes_shahii,Top-20 FI
Bacteroides_coprocola,Top-20 FI
Lactobacillus_ruminis,Top-20 FI
Granulicatella_adiacens,Top-20 FI
Alistipes_putredinis,Top-20 FI
Alistipes_senegalensis,Top-20 FI
Alistipes_finegoldii,Top-20 FI
Streptococcus_sp_A12,Top-20 FI
Bifidobacterium_catenulatum,Top-20 FI
Solobacterium_moorei,Top-20 FI
Eggerthella_lenta,Top-20 FI
Eubacterium_nodatum,Top-20 FI
Intestinimonas_butyriciproducens,Top-20 FI
Prevotella_multisaccharivorax,Top-20 FI
Bifidobacterium_pseudocatenulatum,Regular
Alistipes_timonensis,Regular
Butyrivibrio_crossotus,Regular
Prevotella_copri,Regular
Oscillibacter_ruminantium,Regular
Streptococcus_sp_FDAARGOS_192,Regular
Cellulomonas_carbonis,Regular
Absiella_dolichum,Regular
Streptococcus_salivarius,Regular
Alistipes_megaguti,Regular
Eubacterium_coprostanoligenes,Regular
Bifidobacterium_longum,Regular
Bacteroides_helcogenes,Regular
Eubacterium_uniforme,Regular
Coprococcus_eutactus,Regular
Flavonifractor_plautii,Regular
Bacteroides_fluxus,Regular
Bacteroides_reticulotermitis,Regular
Phascolarctobacterium_succinatutens,Regular
Bacteroides_nordii,Regular
Bacteroides_salyersiae,Regular
Escherichia_coli,Regular
Streptococcus_sp_oral_taxon_431,Regular
Faecalibacterium_prausnitzii,Regular
Oscillibacter_sp_PEA192,Regular
Bacteroides_plebeius,Regular
Collinsella_aerofaciens,Regular
Bifidobacterium_adolescentis,Regular
Prevotella_bivia,Regular
Clostridium_saccharolyticum,Regular
Blautia_producta,Regular
Holdemania_massiliensis,Regular
Clostridium_citroniae,Regular
Culturomica_massiliensis,Regular
Rikenella_microfusus,Regular
Prevotellamassilia_timonensis,Regular
Massilimicrobiota_timonensis,Regular
Clostridium_bolteae,Regular
Streptococcus_parasanguinis,Regular
Clostridioides_difficile,Regular
Prevotella_buccalis,Regular
Clostridium_methylpentosum,Regular
Bittarella_massiliensis,Regular
Clostridium_leptum,Regular
Bacteroides_ovatus,Regular
Ruminococcus_champanellensis,Regular
Eubacterium_rectale,Regular
Lachnoclostridium_sp_YL32,Regular
Mediterranea_massiliensis,Regular
Massilioclostridium_coli,Regular
Parabacteroides_johnsonii,Regular
Ruthenibacterium_lactatiformans,Regular
Eubacterium_siraeum,Regular
Alistipes_inops,Regular
Lachnospira_multipara,Regular
bacterium_LF-3,Regular
Ruminococcus_torques,Regular
Coprococcus_comes,Regular
Bacteroides_thetaiotaomicron,Regular
Clostridiales_bacterium_CCNA10,Regular
Anaerobutyricum_hallii,Regular
Anaerotignum_lactatifermentans,Regular
Roseburia_inulinivorans,Regular
Mageeibacillus_indolicus,Regular
Prevotella_disiens,Regular
Catonella_morbi,Regular
Bacteroides_stercoris,Regular
