"","Lachnoclostridium_sp_YL32","Blautia_hydrogenotrophica","Clostridium_citroniae","Clostridium_bolteae","Gordonibacter_pamelaeae","Hungatella_hathewayi","Faecalibacterium_prausnitzii","Clostridium_symbiosum","Alistipes_shahii","Clostridium_asparagiforme","Anaerostipes_hadrus","Subdoligranulum_variabile","Intestinibacter_bartlettii","Culturomica_massiliensis","Gemmiger_formicilis","Alistipes_timonensis","Eggerthella_lenta","Merdimonas_faecis","Agathobaculum_desmolans","Dorea_longicatena","Rikenella_microfusus","Alistipes_senegalensis","Alistipes_obesi","Faecalicatena_contorta","Blautia_hansenii","Ruthenibacterium_lactatiformans","Prevotella_stercorea","Alistipes_finegoldii","Bacteroides_barnesiae","Mordavella_sp_MarseilleP3756","Blautia_sp_N6H115","Butyricicoccus_pullicaecorum","Blautia_obeum","Lachnoclostridium_phocaeense","Holdemania_massiliensis","Parabacteroides_goldsteinii","Oscillibacter_sp_PEA192","Roseburia_faecis","Flavonifractor_plautii","Alistipes_sp_MarseilleP5997","Alistipes_putredinis","Clostridium_methylpentosum","Faecalitalea_cylindroides","Collinsella_aerofaciens","Alistipes_inops","Paraprevotella_xylaniphila","Ruminococcus_bicirculans","Bacteroides_fragilis","Coprobacter_secundus","Intestinimonas_butyriciproducens","Bacteroides_coprocola","Eubacterium_ventriosum","Clostridium_scindens","Roseburia_intestinalis","Coprococcus_eutactus","Bacteroides_plebeius","Bilophila_wadsworthia","Bacteroides_stercoris","Anaerotruncus_colihominis","Bacteroides_caecimuris","Bacteroides_salanitronis","Bittarella_massiliensis","Bacteroides_ovatus","Dorea_formicigenerans","Emergencia_timonensis","Bacteroides_dorei","Odoribacter_laneus","Ruminococcus_lactaris","Eubacterium_siraeum","Prevotellamassilia_timonensis","Marvinbryantia_formatexigens","Ruminococcus_callidus","Bacteroides_pyogenes","Bacteroides_reticulotermitis","Mediterranea_massiliensis","Bacteroides_nordii","Bacteroides_fluxus","Bacteroides_caccae","Fusicatenibacter_saccharivorans","Ruminococcus_faecis","Odoribacter_splanchnicus","Clostridiales_bacterium","Pseudoflavonifractor_capillosus","Sellimonas_intestinalis","Ruminococcus_gnavus","Bacteroides_helcogenes","Bacteroides_coprophilus","Eubacterium_ramulus","Neglecta_timonensis","Negativibacillus_massiliensis","Prevotella_copri","Bacteroides_cellulosilyticus","Massilioclostridium_coli","Roseburia_hominis","Eubacterium_rectale","Ruminococcus_torques","Eubacterium_hallii","Eubacterium_eligens","Angelakisella_massiliensis","Coprococcus_comes","Parabacteroides_johnsonii","Clostridium_phoceensis","Barnesiella_viscericola","Butyricimonas_sp_H184","Butyrivibrio_crossotus","Bacteroides_vulgatus","Coprobacter_fastidiosus","Fournierella_massiliensis","Bacteroides_zoogleoformans","Roseburia_inulinivorans","Blautia_schinkii","Bacteroides_salyersiae","Bacteroides_pectinophilus","Parabacteroides_sp_CT06","Provencibacterium_massiliense","Acetivibrio_ethanolgignens","Barnesiella_intestinihominis","Bacteroides_heparinolyticus","Lachnospiraceae_bacterium","Erysipelotrichaceae_bacterium","Bacteroides_thetaiotaomicron"
"1",-1,0,0.0791139101494002,0.0497347380511921,0,0.0256762365478555,0,0.0055677546992961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286262300358076,0,0,0,0,0,0.0102116422599502,0,0.0259688384019162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203452136087296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-1,0.0324410949504561,0.0216916029759193,0,0.0136505132445298,0,0,0,0,0,0.0256127565122324,0,0,0,0,0,0.026254380862844,0.025237841420728,0,0,0,0,0,0.00791355607893452,0,0,0,-0.0165743516667131,0,0.0729606655981603,0,0.0609524332430601,0.0100415689561097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220485635551788,0,0,0,0,0,0,0.0167372328053898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201040790493272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0791139101494002,0.0324410949504561,-1,0.065554896418715,0,0.117660045508541,0,0.0498750351672158,0,0,0,0,0,0,0,0,0,0,0.00278258678920671,0,0,0,-0.000559250340410388,0,0.0136735453652502,0,0,0,0,0,0.0374862571640319,0,0.0458629390200188,0,0,0,0,0,0.00842100137739083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105639183389805,0,0,0,0,0,0,0,0,0,0,0.0245947093827044,0,0,0,0,0,0.0522811718804737,0,0,0,0,0,0,0,0,0,0,0.0214850856739394,0.0120818606546989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.0497347380511921,0.0216916029759193,0.065554896418715,-1,0,0.0796923680738512,0,0.0869837742372507,0,0,0,0,0,0,0,0,0,0,0.00708096849119616,0,0,0,0,0,0.0195363226235222,0,0,0,0,0,0.0497918309240401,0,0.0481715601134658,0,0,0,0,0,0.000721628134299589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334790939892337,0,0,0,0,0,0,0,0,0,0,0.0350472684133344,0,0,0,0,0,0.0663795374786351,0,0,0,0,0,0,0,0,0,0,0,0.0300079488624513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.0256762365478555,0.0136505132445298,0.117660045508541,0.0796923680738512,0,-1,0,0.0841716887723975,0,0,0,0,0,0,0,0,0,0,0.0303623446926203,0,0,0,-0.00938244441611754,0,0.00657173827598356,0,0,0,0,0,0.0210773055842194,0,0.0322871246732729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136084746554164,0,0,0,0,0,0,0,0,0,0,0.0301148576649954,0,0,0,0,0,0.0376638505223577,0,0,0,0,0,0,0,0,0,0,0,0.0368987845644356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,-1,0.0629278781929164,0,0,0,0.087908378289679,0,0,0,0,0,0,0.0565460216784641,0,0,0,0,0,0,0,0,0,0,0,0.0474533116248694,0,0,0,0,0,0,0,0.0229405952202235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220159640359414,0,0,0.00196906132494032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308548648407172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.0055677546992961,0,0.0498750351672158,0.0869837742372507,0,0.0841716887723975,0.0629278781929164,-1,0,0.0484439506912108,0,0.00783753450276804,0,0,0,0,0,0,0.0840452737893064,0,0,0,0,0,0.0102820552831426,0,0,0,-0.00124412238762796,0,0.121862913703129,0,0.0150609505980027,0,0,0,0,0,0.0685087421356149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181476077202251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700508446984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.00800837570760096,0,0,0,0,0,0.0341295062978472,0,0,0,0,0,0.00284505800954033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0.0484439506912108,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
