"","Lachnoclostridium_sp_YL32","Blautia_hydrogenotrophica","Clostridium_citroniae","Clostridium_bolteae","Gordonibacter_pamelaeae","Hungatella_hathewayi","Faecalibacterium_prausnitzii","Clostridium_symbiosum","Alistipes_shahii","Clostridium_asparagiforme","Anaerostipes_hadrus","Subdoligranulum_variabile","Intestinibacter_bartlettii","Culturomica_massiliensis","Gemmiger_formicilis","Alistipes_timonensis","Eggerthella_lenta","Merdimonas_faecis","Agathobaculum_desmolans","Dorea_longicatena","Rikenella_microfusus","Alistipes_senegalensis","Alistipes_obesi","Faecalicatena_contorta","Blautia_hansenii","Ruthenibacterium_lactatiformans","Prevotella_stercorea","Alistipes_finegoldii","Bacteroides_barnesiae","Mordavella_sp_MarseilleP3756","Blautia_sp_N6H115","Butyricicoccus_pullicaecorum","Blautia_obeum","Lachnoclostridium_phocaeense","Holdemania_massiliensis","Parabacteroides_goldsteinii","Oscillibacter_sp_PEA192","Roseburia_faecis","Flavonifractor_plautii","Alistipes_sp_MarseilleP5997","Alistipes_putredinis","Clostridium_methylpentosum","Faecalitalea_cylindroides","Collinsella_aerofaciens","Alistipes_inops","Paraprevotella_xylaniphila","Ruminococcus_bicirculans","Bacteroides_fragilis","Coprobacter_secundus","Intestinimonas_butyriciproducens","Bacteroides_coprocola","Eubacterium_ventriosum","Clostridium_scindens","Roseburia_intestinalis","Coprococcus_eutactus","Bacteroides_plebeius","Bilophila_wadsworthia","Bacteroides_stercoris","Anaerotruncus_colihominis","Bacteroides_caecimuris","Bacteroides_salanitronis","Bittarella_massiliensis","Bacteroides_ovatus","Dorea_formicigenerans","Emergencia_timonensis","Bacteroides_dorei","Odoribacter_laneus","Ruminococcus_lactaris","Eubacterium_siraeum","Prevotellamassilia_timonensis","Marvinbryantia_formatexigens","Ruminococcus_callidus","Bacteroides_pyogenes","Bacteroides_reticulotermitis","Mediterranea_massiliensis","Bacteroides_nordii","Bacteroides_fluxus","Bacteroides_caccae","Fusicatenibacter_saccharivorans","Ruminococcus_faecis","Odoribacter_splanchnicus","Clostridiales_bacterium","Pseudoflavonifractor_capillosus","Sellimonas_intestinalis","Ruminococcus_gnavus","Bacteroides_helcogenes","Bacteroides_coprophilus","Eubacterium_ramulus","Neglecta_timonensis","Negativibacillus_massiliensis","Prevotella_copri","Bacteroides_cellulosilyticus","Massilioclostridium_coli","Roseburia_hominis","Eubacterium_rectale","Ruminococcus_torques","Eubacterium_hallii","Eubacterium_eligens","Angelakisella_massiliensis","Coprococcus_comes","Parabacteroides_johnsonii","Clostridium_phoceensis","Barnesiella_viscericola","Butyricimonas_sp_H184","Butyrivibrio_crossotus","Bacteroides_vulgatus","Coprobacter_fastidiosus","Fournierella_massiliensis","Bacteroides_zoogleoformans","Roseburia_inulinivorans","Blautia_schinkii","Bacteroides_salyersiae","Bacteroides_pectinophilus","Parabacteroides_sp_CT06","Provencibacterium_massiliense","Acetivibrio_ethanolgignens","Barnesiella_intestinihominis","Bacteroides_heparinolyticus","Lachnospiraceae_bacterium","Erysipelotrichaceae_bacterium","Bacteroides_thetaiotaomicron"
"1",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-1,0.0296259067936217,0,0,0.0134347223848656,0.0506172896465827,0.0262170402092019,0,0,0.0294105241325301,0.0681830853194488,0,0,0,0,0,0,0.0638298547127633,0,0,0,0,0,0,0,0,0,0,0,0.0594255623074017,0,0.0452989188590178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757902378698246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156185742001391,0,0,0,0.0364391676712122,0,0.00262298564642144,0,0,0,0,0,0,0,0,0,0,0.0272922478253241,0,0,0,0,0,0,0,0,0,0,0,0.0168583767276315,0,0,0,0,0,0,0,0.00688557288850661,0,0,0,0,0
"3",0,0.0296259067936217,-1,0.0514832643225242,0,0.0373863247850685,0,0.0388985136991677,0,0,0.0221270353858596,0,0,0,0,0,0,0,0.0161596208648892,0,0,0,0,0,0,0,0,0,0,0,0.0546661727359698,0,0.0349668246800494,0,0,0,0,0,0.0480127348833911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107285873278909,0,0,0,0,0,0,0,0,0,0,0.0102701827681485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140387145264856,0,0,0.0287420684254905,0,0,0,0,0,0,0,0,0,0,0.0084752860928195,0,0,0,0.00162317700106218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523805402628374,0,0,0,0
"4",0,0,0.0514832643225242,-1,0,0.042634316409569,0,0.0596508917825274,0,0.0465107331728952,0.0138554114989599,0,0,0,0,0,0,0,0,0,0,0,-0.0106572562575939,0,0,0,0,0,0,0,0.0388288464400204,0,0.059191685859701,0,0,0,0,0,0.0498627592945558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399517340201615,0,0,0,0,0,0,0,0,0,0,0.0344447884505781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423374328673611,0,0,0,0,0,0,0,0,0,0,0.0403497391990249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0.0134347223848656,0.0373863247850685,0.042634316409569,0,-1,0,0.0618418137114304,0,0,0.0127394202950337,0.0166555285728712,0,0,0,0,0,0,0.0248373409691384,0,0,0,0,0,0,0,0,0,0,0,0.0396611448992868,0,0.0412934836507528,0,0,0,0,0,0.0113106236104936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501232332971737,0,0,0,0,0,0,0,0,0,0,0.00936819550868653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234394428982011,0,0.0157698586237558,0,0,0,0,0,0,0,0,0,0,0.0189020345521058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.0506172896465827,0,0,0,0,-1,0.00160971250167283,0,0,0,0.053965250906053,0,0,0,0,0,0,0.0477737360303284,0,0,0,-0.0171785391279687,0,0,0,0,0,0,0,0.0317864433258902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143918977253907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933933219149713,0,0,0,0.000122506696733297,0,0.0164321142587052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00803935145662282,0,0,0,0.0412682306186545,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0.0262170402092019,0.0388985136991677,0.0596508917825274,0,0.0618418137114304,0.00160971250167283,-1,-0.023139445158346,0.0148632242984449,0.00530309406155421,0.00745721828134854,0,0,0,0,0,0,0.0108615864592076,0,0,0,-0.0205666801181667,0,0,0,0,0,0,0,0.0483870577233277,0,0.0487029662615943,0,0,0,0,0,0.0228305471213803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317889170450531,0,0,0,0,0,0,0,0,0,0,0.0218563137749139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038130838065918,0,0,0.00802675275109757,0,0.0453455342428498,0,0,0,0,0,0,0,0,0,0,0.0290516963995642,0,0,0,0,0,0,0,0,0,0,0,0.0262417713682627,0,0,0,0,0,0,0,0.00258833063587045,0,0,0,0,0
"9",0,0,0,0,0,0,0,-0.023139445158346,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0835761116934227,0.0454003239794616,0,0,0,0,0.0353574467017454,0,0,0,0,0,0,0,0,0,0,0,0,0.0634133818020172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00326444261450528,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.0465107331728952,0,0,0,0.0148632242984449,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000754511207848057,0,0,0,0,0,0,0,0.00494359297845796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
