,Importance,P-val,Q-val
age,0.07837170476419457,1.2810718345817004e-34,6.985751499976093e-34
Blautia_hydrogenotrophica,0.02953158377714478,1.2810718345817004e-34,6.985751499976093e-34
Gordonibacter_pamelaeae,0.02725869590431641,1.2810718345817004e-34,6.985751499976093e-34
Lachnoclostridium_sp_YL32,0.026505575901373632,1.2810718345817004e-34,6.985751499976093e-34
Faecalibacterium_prausnitzii,0.024272012243332912,1.2810718345817004e-34,6.985751499976093e-34
Clostridium_bolteae,0.022970074808790812,1.2810718345817004e-34,6.985751499976093e-34
Clostridium_citroniae,0.02151702096566737,1.2810718345817004e-34,6.985751499976093e-34
Intestinibacter_bartlettii,0.01921834423768751,1.2810718345817004e-34,6.985751499976093e-34
Clostridium_symbiosum,0.017535119288034893,1.2810718345817004e-34,6.985751499976093e-34
Hungatella_hathewayi,0.015983300168264783,1.2810718345817004e-34,6.985751499976093e-34
Merdimonas_faecis,0.015109500398422033,1.3201420157435136e-34,6.985751499976093e-34
Clostridium_asparagiforme,0.01471173775066683,1.2810718345817004e-34,6.985751499976093e-34
Alistipes_shahii,0.014630834094797334,1.2810718345817004e-34,6.985751499976093e-34
Alistipes_obesi,0.014090955217755536,1.2810718345817004e-34,6.985751499976093e-34
Subdoligranulum_variabile,0.013653435436479835,1.5807004562237417e-34,7.721113766939047e-34
Anaerostipes_hadrus,0.013638000672123689,1.2810718345817004e-34,6.985751499976093e-34
Alistipes_senegalensis,0.013358775719945013,1.2810718345817004e-34,6.985751499976093e-34
Alistipes_timonensis,0.012478059904429371,1.2810718345817004e-34,6.985751499976093e-34
Dorea_longicatena,0.012440267523807525,1.2810718345817004e-34,6.985751499976093e-34
Rikenella_microfusus,0.01144572312383743,1.4445969989963522e-34,7.338552754901469e-34
Ruthenibacterium_lactatiformans,0.01105533401560874,1.2810718345817004e-34,6.985751499976093e-34
Culturomica_massiliensis,0.01040155105498877,1.2810718345817004e-34,6.985751499976093e-34
Gemmiger_formicilis,0.01038818728248196,1.2810718345817004e-34,6.985751499976093e-34
Eggerthella_lenta,0.010276917079948926,1.3201420157435136e-34,6.985751499976093e-34
Prevotella_stercorea,0.009914603133174285,1.2810718345817004e-34,6.985751499976093e-34
Agathobaculum_desmolans,0.009826555940650843,5.0708081079984525e-34,2.1466420990526782e-33
Lachnoclostridium_phocaeense,0.009176121854631018,2.630235214706779e-34,1.192999543813432e-33
Blautia_sp_N6H115,0.008792490266438873,1.4753221558202901e-33,5.855184805911776e-33
Paraprevotella_xylaniphila,0.008246334435272696,1.3201420157435136e-34,6.985751499976093e-34
Mordavella_sp_MarseilleP3756,0.007809792593475311,2.4512910995691004e-32,8.413891071493939e-32
Bacteroides_barnesiae,0.007771742691417144,3.545946137531362e-34,1.5528798602292517e-33
Holdemania_massiliensis,0.0072270983948942245,1.6784379041007553e-34,7.894874585955404e-34
Blautia_hansenii,0.007148563683642688,1.585823719593361e-32,5.594433677454356e-32
Alistipes_finegoldii,0.006881634855320186,8.59974527115156e-33,3.12047899838928e-32
Bacteroides_plebeius,0.0066357210645486475,2.2969721828531145e-33,8.839862643101381e-33
Blautia_obeum,0.0063768501292793735,1.065421336838061e-33,4.3647906380139915e-33
Flavonifractor_plautii,0.006326250633424755,1.5595800384514333e-29,4.2141843592198306e-29
Faecalicatena_contorta,0.006259739426375485,9.740526901554637e-30,2.7489931477720863e-29
Coprobacter_secundus,0.006038978452413376,1.3211207285155996e-29,3.647442011336547e-29
Collinsella_aerofaciens,0.0059928434386939166,9.819418198530718e-31,3.117665278033503e-30
Bacteroides_stercoris,0.005926503720336194,4.1363076003668436e-33,1.545032544842909e-32
Oscillibacter_sp_PEA192,0.005900039044067282,5.350408085387687e-32,1.7881627022216743e-31
