,F1-score
0,0.8889
1,0.8772
2,0.8655
3,0.8772
4,0.8713
5,0.883
6,0.8947
7,0.883
8,0.8772
9,0.8772
10,0.8889
11,0.8947
12,0.883
13,0.8947
14,0.8772
15,0.883
16,0.8655
17,0.8713
18,0.8772
19,0.8713
20,0.8947
21,0.8889
22,0.8947
23,0.883
24,0.8772
25,0.8889
26,0.883
27,0.883
28,0.8713
29,0.8713
30,0.8713
31,0.8889
32,0.8947
33,0.8713
34,0.8772
35,0.8713
36,0.8655
37,0.8772
38,0.8772
39,0.8655
40,0.8772
41,0.8947
42,0.8772
43,0.8713
44,0.8713
45,0.8772
46,0.883
47,0.8947
48,0.8889
49,0.8772
50,0.8772
51,0.883
52,0.8772
53,0.8947
54,0.8655
55,0.8889
56,0.8947
57,0.8947
58,0.8889
59,0.8772
60,0.8947
61,0.883
62,0.883
63,0.8655
64,0.8655
65,0.8538
66,0.8713
67,0.8772
68,0.8772
69,0.883
70,0.8772
71,0.8713
72,0.8772
73,0.8713
74,0.883
75,0.8772
76,0.883
77,0.8947
78,0.8655
79,0.8889
80,0.883
81,0.8889
82,0.8772
83,0.8596
84,0.8713
85,0.8947
86,0.8713
87,0.8713
88,0.8772
89,0.8772
90,0.883
91,0.883
92,0.8713
93,0.8947
94,0.8713
95,0.8889
96,0.8596
97,0.8655
98,0.8947
99,0.8947
