"","Blautia_hydrogenotrophica","Gordonibacter_pamelaeae","Lachnoclostridium_sp_YL32","Faecalibacterium_prausnitzii","Clostridium_bolteae","Clostridium_citroniae","Intestinibacter_bartlettii","Clostridium_symbiosum","Hungatella_hathewayi","Merdimonas_faecis","Clostridium_asparagiforme","Alistipes_shahii","Alistipes_obesi","Subdoligranulum_variabile","Anaerostipes_hadrus","Alistipes_senegalensis","Alistipes_timonensis","Dorea_longicatena","Rikenella_microfusus","Ruthenibacterium_lactatiformans","Culturomica_massiliensis","Gemmiger_formicilis","Eggerthella_lenta","Prevotella_stercorea","Agathobaculum_desmolans","Lachnoclostridium_phocaeense","Blautia_sp_N6H115","Paraprevotella_xylaniphila","Mordavella_sp_MarseilleP3756","Bacteroides_barnesiae","Holdemania_massiliensis","Blautia_hansenii","Alistipes_finegoldii","Bacteroides_plebeius","Blautia_obeum","Flavonifractor_plautii","Faecalicatena_contorta","Coprobacter_secundus","Collinsella_aerofaciens","Bacteroides_stercoris","Oscillibacter_sp_PEA192","Bilophila_wadsworthia","Neglecta_timonensis","Alistipes_inops","Bacteroides_coprophilus","Marvinbryantia_formatexigens","Alistipes_putredinis","Bacteroides_salanitronis","Anaerotruncus_colihominis","Bacteroides_dorei","Parabacteroides_goldsteinii","Ruminococcus_bicirculans","Faecalitalea_cylindroides","Bittarella_massiliensis","Odoribacter_splanchnicus","Bacteroides_pyogenes","Coprococcus_eutactus","Bacteroides_fluxus","Prevotellamassilia_timonensis","Bacteroides_cellulosilyticus","Butyricimonas_sp_H184","Intestinimonas_butyriciproducens","Butyricicoccus_pullicaecorum","Barnesiella_viscericola","Eubacterium_ventriosum","Sellimonas_intestinalis","Clostridium_methylpentosum","Coprococcus_comes","Ruminococcus_callidus","Bacteroides_nordii","Clostridiales_bacterium","Eubacterium_hallii","Parabacteroides_johnsonii","Ruminococcus_lactaris","Eubacterium_ramulus","Bacteroides_ovatus","Coprobacter_fastidiosus","Eubacterium_eligens","Roseburia_faecis","Prevotella_copri","Fusicatenibacter_saccharivorans","Blautia_schinkii","Odoribacter_laneus","Bacteroides_coprocola","Negativibacillus_massiliensis","Alistipes_sp_MarseilleP5997","Eubacterium_siraeum","Ruminococcus_torques","Barnesiella_intestinihominis","Bacteroides_fragilis","Eubacterium_rectale","Roseburia_hominis","Bacteroides_heparinolyticus","Provencibacterium_massiliense","Bacteroides_reticulotermitis","Roseburia_inulinivorans","Fournierella_massiliensis","Clostridium_scindens","Christensenella_minuta","Pseudoflavonifractor_capillosus","Dorea_formicigenerans","Erysipelotrichaceae_bacterium","Bacteroides_caecimuris","Roseburia_intestinalis","Massilioclostridium_coli","Merdibacter_massiliensis","Mediterranea_massiliensis","Butyrivibrio_crossotus","Bacteroides_vulgatus","Clostridium_leptum","Bacteroides_helcogenes","Clostridium_phoceensis","Ruminococcus_gnavus","Angelakisella_massiliensis","Bacteroides_pectinophilus","Lactobacillus_rogosae","Bacteroides_thetaiotaomicron","Clostridium_glycyrrhizinilyticum","Bacteroides_caccae","bacterium_LF3"
"Blautia_hydrogenotrophica",-1,0,0,0,0.005715976344838,0.0174244181609978,0,0,0.0130452150892289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109243827132902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218496326517138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389231205485214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter_pamelaeae",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_YL32",0,0,-1,0,0.051703782867651,0.0562815363810465,0,0,0.0388192700799343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557282989602065,0,0,0.0622059108635419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",0,0,0,-1,0,0,0,0.0463855704582232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094801193594034,0,0.0540174208381299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_bolteae",0.005715976344838,0,0.051703782867651,0,-1,0.134382600855999,0,0,0.145291587042582,0,0,0,0,0,0,0,0,0.014416267308879,0,0,0,0,0,0,0,0,0.0193063243188308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389016312056353,0,0,0,0,0,0,0.0308152281048479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013883002322832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527122150548164,0,0,0,0,0,0,0
"Clostridium_citroniae",0.0174244181609978,0,0.0562815363810465,0,0.134382600855999,-1,0,0,0.138724597012538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231463604954962,0,0,0,0,0,0,0.00114938027824874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014179940748399,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826306593213017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0.0463855704582232,0,0,0,-1,0,0,0.00457240485354923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755916371455818,0,0.150489535981052,0,0,0,0,0,0,0,0,0.0847156735605138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169106180039055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_hathewayi",0.0130452150892289,0,0.0388192700799343,0,0.145291587042582,0.138724597012538,0,0,-1,0,0,0,0,0,0,0,0,0.00228379722096194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344677459326579,0,0,0,0,0,0,0.00531966403167584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165499254589915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296666202757075,0,0,0,0,0,0,0
"Merdimonas_faecis",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696501204849537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00663718967736254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
