	Absiella_dolichum	Acetivibrio_ethanolgignens	Agathobaculum_desmolans	Alistipes_finegoldii	Alistipes_inops	Alistipes_obesi	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Alistipes_sp_MarseilleP5997	Alistipes_timonensis	Anaerostipes_hadrus	Anaerotignum_lactatifermentans	Anaerotruncus_colihominis	Angelakisella_massiliensis	Bacteroides_barnesiae	Bacteroides_caccae	Bacteroides_caecimuris	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_coprophilus	Bacteroides_dorei	Bacteroides_faecichinchillae	Bacteroides_fluxus	Bacteroides_fragilis	Bacteroides_helcogenes	Bacteroides_heparinolyticus	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_pyogenes	Bacteroides_reticulotermitis	Bacteroides_salanitronis	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_zoogleoformans	Barnesiella_intestinihominis	Barnesiella_viscericola	Bilophila_wadsworthia	Bittarella_massiliensis	Blautia_hansenii	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_schinkii	Blautia_sp_N6H115	Butyricicoccus_pullicaecorum	Butyricimonas_sp_H184	Butyrivibrio_crossotus	Christensenella_minuta	Clostridiales_bacterium	Clostridium_asparagiforme	Clostridium_bolteae	Clostridium_citroniae	Clostridium_glycyrrhizinilyticum	Clostridium_innocuum	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_phoceensis	Clostridium_scindens	Clostridium_sporogenes	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacter_fastidiosus	Coprobacter_secundus	Coprococcus_comes	Coprococcus_eutactus	Culturomica_massiliensis	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Emergencia_timonensis	Erysipelotrichaceae_bacterium	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Faecalicatena_contorta	Faecalitalea_cylindroides	Flavonifractor_plautii	Fournierella_massiliensis	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemania_massiliensis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Lachnoclostridium_phocaeense	Lachnoclostridium_sp_YL32	Lachnospiraceae_bacterium	Lactobacillus_rogosae	Lactonifactor_longoviformis	Marvinbryantia_formatexigens	Massilioclostridium_coli	Mediterranea_massiliensis	Merdibacter_massiliensis	Merdimonas_faecis	Mordavella_sp_MarseilleP3756	Negativibacillus_massiliensis	Neglecta_timonensis	Odoribacter_laneus	Odoribacter_splanchnicus	Oscillibacter_sp_PEA192	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_johnsonii	Parabacteroides_sp_CT06	Paraprevotella_xylaniphila	Phocea_massiliensis	Prevotella_copri	Prevotella_stercorea	Prevotellamassilia_timonensis	Provencibacterium_massiliense	Pseudoflavonifractor_capillosus	Rikenella_microfusus	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_callidus	Ruminococcus_faecis	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Subdoligranulum_variabile	Traorella_massiliensis	Tyzzerella_nexilis	bacterium_LF3	ROLE_ID	SubRole	MainRole	Role
TIGR02497	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	97.0	Protein and peptide secretion and trafficking	Protein fate	Protein fate::Protein and peptide secretion and trafficking
TIGR00366	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	156.0	Conserved	Hypothetical proteins	Hypothetical proteins::Conserved
TIGR00283	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.7656657586633069	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	136.0	Other	Protein synthesis	Protein synthesis::Other
TIGR02100	-0.0	-0.03543464480348963	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.08941822057552741	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-2.3898499016508983	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-4.432845051492484	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.8518510713548776	0.0	-0.0	0.0	-0.0	0.0	-0.8815073806680561	-0.0	1.6580184693371463	-0.0	-0.0	-0.0	1.6150011276499754	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	4.096142045913253	-0.0	0.0	0.0	-1.1377279710305865	-0.0	0.0	0.7656657586633069	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.6632246554968542	0.0	0.0	-3.710016120206012	-0.0	-0.0	0.0	-0.0	-0.08636543126457136	0.5063920814820603	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	1.2649647174512764	0.0	0.0	0.0	-2.1746650234378637	0.0	-0.0	0.0	-0.0	105.0	Biosynthesis and degradation of polysaccharides	Energy metabolism	Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02359	-0.0	-0.0	0.7661502794567364	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	4.694284868455811	-1.0208594801235082	0.9640433448026104	-0.08941822057552741	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.44921507549692197	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-1.8013803321188406	0.0	0.8555562689461736	6.759106350675495	-0.0	0.0	-0.041843316171160966	0.0	-0.13375054496283018	-0.0	0.0	0.3047926813236769	4.434733708576739	0.8518510713548776	0.0	-1.0089227895599502	0.0	-0.0	2.206133402280572	-0.0	-0.0	3.3160369386742925	-0.0	-0.0	-0.0	1.6150011276499754	-0.0	-0.0	0.0	2.0406263908940545	-0.0	-0.0	-0.0	0.0	0.0	1.1643127806161337	4.096142045913253	-4.005715509623398	0.0	5.608956537987211	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.8658425949817332	-0.0	0.0	-0.45208562934214086	-0.6632246554968542	2.9543689738459404	0.6352013816118601	-0.0	-0.0	-1.133801915405165	0.0	-0.0	-0.08636543126457136	0.5063920814820603	0.0	-0.0	-0.0	0.0	3.2849060978335527	0.0	-0.0	0.0	0.0	-0.0	-0.4056441790565242	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	2.94596419834613	2.075840027627584	2.7988312815350773	2.179573190396376	-0.3345829429355099	-0.0	1.6347976772285904	0.0	1.47180325364254	0.0	0.0	-0.0	2.1458806479813743	-0.0	1.3030229188814721	-0.0	147.0	Other	Transport and binding proteins	Transport and binding proteins::Other
TIGR00224	-0.0	-0.03543464480348963	0.0	1.2029319397262999	-6.094201330109316	-0.6254021569980238	2.651986920470191	-1.1803539627472757	0.3819209554420582	-2.630610109881293	-3.650145107373021	0.0	-0.0	0.0	-0.0	-2.967414546466676	2.8564587981018232	3.025070498952644	0.5237426140348307	2.614849030497903	1.8793674532620857	3.33488636884556	0.8536725910274561	1.823257693615834	10.74006313395622	-1.548483220950466	-3.2205733202032274	0.07850081024224723	8.073628717366113	-0.44921507549692197	2.164641516795593	-2.696093363265917	-3.9497915479828336	-2.3898499016508983	1.6428741718180553	3.497154988566803	6.528437633514573	4.559344431029598	15.458389905532048	-3.8746325535005743	-1.3480306026592894	-2.6190573459637445	-0.0	-0.0	0.551427079364574	0.0	6.759106350675495	-0.0	0.35771563307227733	-0.0	0.6383796681303537	-0.13375054496283018	-2.7291773079012844	2.563678450745873	0.3047926813236769	4.434733708576739	0.8518510713548776	0.011634750730350764	-0.0	0.0	-0.0	2.206133402280572	-0.0	-1.0804456257247255	0.0	-2.6032568811200014	-3.265157414344941	-5.477891190787252	1.6150011276499754	-0.30022446310050044	-2.8795918328996803	1.695858739657321	2.0406263908940545	-0.0	-0.0	-0.2536518514775089	1.9601870790889797	4.088433982524814	1.1643127806161337	4.096142045913253	-0.0	1.0636859808989263	5.608956537987211	-0.0	-0.0	0.0	0.0	3.0549176722846147	-0.23654907202294762	-0.0	-0.0	0.8658425949817332	-0.0	0.0	-0.45208562934214086	-0.6632246554968542	5.908737947691881	0.6352013816118601	-0.0	-2.7190995744372777	-0.0	1.0043727933366162	-0.0	-0.08636543126457136	0.5063920814820603	0.0	-0.0	-3.913715025456036	2.931264941667458	3.2849060978335527	2.009772488000084	-2.081753888467557	2.258278365632866	2.4992213272699653	-2.201409278940373	-0.0	-2.6024478667862003	-2.6232412805146024	-1.5359580344003574	-0.0	0.0	-4.983708693117251	2.94596419834613	2.075840027627584	2.7988312815350773	2.179573190396376	-0.3345829429355099	-0.0	1.6347976772285904	1.2649647174512764	1.47180325364254	1.6463012590295807	0.0	-2.1746650234378637	2.1458806479813743	-0.0	1.3030229188814721	-1.5573150401569305	116.0	Glycolysis/gluconeogenesis	Energy metabolism	Energy metabolism::Glycolysis/gluconeogenesis
TIGR00745	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	2.3471424342279055	-1.0208594801235082	0.9640433448026104	-0.0	-2.967414546466676	2.8564587981018232	3.025070498952644	0.5237426140348307	2.614849030497903	1.8793674532620857	3.33488636884556	0.8536725910274561	1.823257693615834	10.74006313395622	-1.548483220950466	-3.2205733202032274	0.07850081024224723	8.073628717366113	-0.44921507549692197	2.164641516795593	-0.0	-3.9497915479828336	-2.3898499016508983	1.6428741718180553	3.497154988566803	6.528437633514573	4.559344431029598	5.152796635177349	-3.8746325535005743	-0.0	-0.0	-0.0	-0.0	0.0	1.7111125378923473	6.759106350675495	-4.432845051492484	0.35771563307227733	-0.041843316171160966	0.0	-0.26750108992566035	-0.0	2.563678450745873	0.6095853626473537	11.086834271441848	4.259255356774388	0.0	-1.0089227895599502	0.0	-0.0	0.0	-0.0	-1.0804456257247255	0.0	-2.6032568811200014	-0.0	-0.0	3.2300022552999508	-0.0	-0.0	1.695858739657321	2.0406263908940545	-0.0	-2.810433235151827	-0.2536518514775089	1.9601870790889797	6.132650973787221	0.0	0.0	-0.0	0.0	5.608956537987211	-1.1377279710305865	-0.0	3.1184357180513937	0.0	3.0549176722846147	-0.23654907202294762	-0.0	-0.0	1.7316851899634664	-0.10222195809101399	2.049951509932133	-0.9041712586842817	-1.9896739664905625	2.9543689738459404	1.2704027632237203	-14.840064480824047	-2.7190995744372777	-0.0	1.0043727933366162	-2.9846560267962063	-0.0	0.5063920814820603	0.0	-0.0	-0.0	2.931264941667458	3.2849060978335527	2.009772488000084	-2.081753888467557	2.258278365632866	2.4992213272699653	-2.201409278940373	-0.0	-0.0	-0.0	-1.5359580344003574	-0.0	0.0	-4.983708693117251	2.94596419834613	2.075840027627584	0.0	0.0	-0.0	-0.0	0.0	0.0	1.47180325364254	0.0	1.029041325649113	-2.1746650234378637	0.0	-0.0	0.0	-1.5573150401569305	83.0	Pantothenate and coenzyme A	Biosynthesis of cofactors, prosthetic groups, and carriers	Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A
TIGR00260	-2.357796199988753	-0.03543464480348963	0.7661502794567364	1.2029319397262999	-0.0	-0.6254021569980238	0.0	-1.1803539627472757	0.3819209554420582	-2.630610109881293	-3.650145107373021	2.3471424342279055	-0.5104297400617541	0.9640433448026104	-0.08941822057552741	-2.967414546466676	2.8564587981018232	3.025070498952644	0.5237426140348307	2.614849030497903	1.8793674532620857	3.33488636884556	0.8536725910274561	1.823257693615834	10.74006313395622	-1.548483220950466	-3.2205733202032274	0.07850081024224723	8.073628717366113	-0.44921507549692197	2.164641516795593	-2.696093363265917	-3.9497915479828336	-2.3898499016508983	1.6428741718180553	3.497154988566803	6.528437633514573	4.559344431029598	10.305593270354699	-3.8746325535005743	-1.3480306026592894	-2.6190573459637445	-3.067148488481323	-1.8013803321188406	0.551427079364574	0.8555562689461736	6.759106350675495	-4.432845051492484	0.35771563307227733	-0.041843316171160966	0.0	-0.13375054496283018	-2.7291773079012844	2.563678450745873	0.3047926813236769	4.434733708576739	0.8518510713548776	0.011634750730350764	-1.0089227895599502	0.565291838006064	-1.7272701000048163	2.206133402280572	-0.8815073806680561	-1.0804456257247255	1.6580184693371463	-2.6032568811200014	-3.265157414344941	-2.738945595393626	1.6150011276499754	-0.30022446310050044	-0.0	1.695858739657321	2.0406263908940545	-10.066332516803604	-2.810433235151827	-0.2536518514775089	1.9601870790889797	4.088433982524814	1.1643127806161337	4.096142045913253	-4.005715509623398	1.0636859808989263	5.608956537987211	-1.1377279710305865	-2.5038449408032974	6.2368714361027875	0.7656657586633069	3.0549176722846147	-0.23654907202294762	-8.369897668051111	-0.6028358318151136	0.8658425949817332	-0.10222195809101399	2.049951509932133	-0.45208562934214086	-0.6632246554968542	5.908737947691881	0.6352013816118601	-14.840064480824047	-2.7190995744372777	-1.133801915405165	1.0043727933366162	-2.9846560267962063	-0.08636543126457136	0.5063920814820603	0.0	-0.7329997850303402	-0.0	0.0	6.569812195667105	2.009772488000084	-2.081753888467557	2.258278365632866	2.4992213272699653	-2.201409278940373	-0.0	-2.6024478667862003	-0.0	-0.0	-1.2693227536340432	2.0802244087275072	-0.0	2.94596419834613	2.075840027627584	2.7988312815350773	2.179573190396376	-0.3345829429355099	-0.7917306987349823	1.6347976772285904	1.2649647174512764	1.47180325364254	1.6463012590295807	1.029041325649113	-2.1746650234378637	2.1458806479813743	-2.8809199182573906	1.3030229188814721	-1.5573150401569305	71.0	Aspartate family	Amino acid biosynthesis	Amino acid biosynthesis::Aspartate family
TIGR04171	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.10222195809101399	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	123.0	2'-Deoxyribonucleotide metabolism	Purines, pyrimidines, nucleosides, and nucleotides	Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism
TIGR01419	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	700.0	PTS	Signal transduction	Signal transduction::PTS
