"","Blautia_hydrogenotrophica","Gordonibacter_pamelaeae","Lachnoclostridium_sp_YL32","Faecalibacterium_prausnitzii","Clostridium_bolteae","Clostridium_citroniae","Intestinibacter_bartlettii","Clostridium_symbiosum","Hungatella_hathewayi","Merdimonas_faecis","Clostridium_asparagiforme","Alistipes_shahii","Alistipes_obesi","Subdoligranulum_variabile","Anaerostipes_hadrus","Alistipes_senegalensis","Alistipes_timonensis","Dorea_longicatena","Rikenella_microfusus","Ruthenibacterium_lactatiformans","Culturomica_massiliensis","Gemmiger_formicilis","Eggerthella_lenta","Prevotella_stercorea","Agathobaculum_desmolans","Lachnoclostridium_phocaeense","Blautia_sp_N6H115","Paraprevotella_xylaniphila","Mordavella_sp_MarseilleP3756","Bacteroides_barnesiae","Holdemania_massiliensis","Blautia_hansenii","Alistipes_finegoldii","Bacteroides_plebeius","Blautia_obeum","Flavonifractor_plautii","Faecalicatena_contorta","Coprobacter_secundus","Collinsella_aerofaciens","Bacteroides_stercoris","Oscillibacter_sp_PEA192","Bilophila_wadsworthia","Neglecta_timonensis","Alistipes_inops","Bacteroides_coprophilus","Marvinbryantia_formatexigens","Alistipes_putredinis","Bacteroides_salanitronis","Anaerotruncus_colihominis","Bacteroides_dorei","Parabacteroides_goldsteinii","Ruminococcus_bicirculans","Faecalitalea_cylindroides","Bittarella_massiliensis","Odoribacter_splanchnicus","Bacteroides_pyogenes","Coprococcus_eutactus","Bacteroides_fluxus","Prevotellamassilia_timonensis","Bacteroides_cellulosilyticus","Butyricimonas_sp_H184","Intestinimonas_butyriciproducens","Butyricicoccus_pullicaecorum","Barnesiella_viscericola","Eubacterium_ventriosum","Sellimonas_intestinalis","Clostridium_methylpentosum","Coprococcus_comes","Ruminococcus_callidus","Bacteroides_nordii","Clostridiales_bacterium","Eubacterium_hallii","Parabacteroides_johnsonii","Ruminococcus_lactaris","Eubacterium_ramulus","Bacteroides_ovatus","Coprobacter_fastidiosus","Eubacterium_eligens","Roseburia_faecis","Prevotella_copri","Fusicatenibacter_saccharivorans","Blautia_schinkii","Odoribacter_laneus","Bacteroides_coprocola","Negativibacillus_massiliensis","Alistipes_sp_MarseilleP5997","Eubacterium_siraeum","Ruminococcus_torques","Barnesiella_intestinihominis","Bacteroides_fragilis","Eubacterium_rectale","Roseburia_hominis","Bacteroides_heparinolyticus","Provencibacterium_massiliense","Bacteroides_reticulotermitis","Roseburia_inulinivorans","Fournierella_massiliensis","Clostridium_scindens","Christensenella_minuta","Pseudoflavonifractor_capillosus","Dorea_formicigenerans","Erysipelotrichaceae_bacterium","Bacteroides_caecimuris","Roseburia_intestinalis","Massilioclostridium_coli","Merdibacter_massiliensis","Mediterranea_massiliensis","Butyrivibrio_crossotus","Bacteroides_vulgatus","Clostridium_leptum","Bacteroides_helcogenes","Clostridium_phoceensis","Ruminococcus_gnavus","Angelakisella_massiliensis","Bacteroides_pectinophilus","Lactobacillus_rogosae","Bacteroides_thetaiotaomicron","Clostridium_glycyrrhizinilyticum","Bacteroides_caccae","bacterium_LF3"
"Blautia_hydrogenotrophica",-1,0,0,0.0496134291656438,0,0.0279753987623703,0,0.0253714354637076,0.0120772353565681,0,0,0,0,0.0676374827763031,0.0273273587649129,0,0,0,0,0,0,0,0,0,0.0636942299512693,0,0.059498115754817,0,0,0,0,0,0,0,0.0449104021351915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147068801718141,0,0,0,0,0,0,0.0257970711004065,0,0,0,0,0,0,0,0,0.0145730412501802,0,0,0.0350040119804799,0.00602678292942883,0,0,0,0,0,0,0,0,0,0,0,0.001040906511719,0,0,0,0,0,0,0
"Gordonibacter_pamelaeae",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_YL32",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",0.0496134291656438,0,0,-1,0,0,0,1.60684136189891e-06,0,0,0,0,-0.0131093782048983,0.0527956394247822,0,0,0,0,0,0,0,0,0,0,0.0468988018945816,0,0.0306693767857993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00671571457790628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907439606210669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396594130905799,0,0,0,0.0132028072014781,0,0,0,0,0,0,0,0,0,0,0,0.0148736154817632,0,0,0,0,0,0,0
"Clostridium_bolteae",0,0,0,0,-1,0.0508821390563332,0,0.0591822697754556,0.0416323190590971,0,0.0436319376758858,0,-0.0066481969016678,0,0.0122111806745857,0,0,0,0,0,0,0,0,0,0,0,0.0376886710509548,0,0,0,0,0,0,0,0.058924136292872,0.049220305210578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388876664306532,0,0,0,0,0,0,0,0,0,0.03819223044005,0,0,0.0327506656661583,0,0,0,0,0,0,0,0,0,0,0,0.0412626754805689,0,0,0,0,0.00860296518213939,0,0
"Clostridium_citroniae",0.0279753987623703,0,0,0,0.0508821390563332,-1,0,0.0380363158885336,0.0363037162470523,0,0,0,0,0,0.0207125301003219,0,0,0,0,0,0,0,0,0,0.0138642187893226,0,0.0541901986432391,0,0,0,0,0,0,0,0.0341581279426028,0.0469918939079435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105280093215921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638717312668462,-0.00802999780339993,0,0,0,0,0,0,0,0,0.00776097510343909,0,0,0.00836962917803042,0,0,0,0,0,0,0,0,0,0,0,0.0276069022440844,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0.0253714354637076,0,0,1.60684136189891e-06,0.0591822697754556,0.0380363158885336,0,-1,0.0608379992167951,0,0.0113285073555415,-0.0196559715260642,-0.0176283129490263,0.00535109948772852,0.00348704370099042,0,0,0,0,0,0,0,0,0,0.00909134424038098,0,0.0465511605597136,0,0,0,0,0,0,0,0.0483103676984948,0.0215429462700079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275275612357661,0,0,0,0,0,0,0,0,0.0236135652185165,0.029615246539988,0,0.00537566224454315,0.0188526551008986,0,0,0,0,0,0,0,0,0,0,0,0.0433566661230392,0,0,0,0,0.0407268531868836,0,0
"Hungatella_hathewayi",0.0120772353565681,0,0,0,0.0416323190590971,0.0363037162470523,0,0.0608379992167951,-1,0,0,0,0,0.0144499626086586,0.0107254874384451,0,0,0,0,0,0,0,0,0,0.0227979976832563,0,0.0388610170336657,0,0,0,0,0,0,0,0.0404103926565546,0.00967291091575995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169238062246627,0,0,0,0,0,0,0,0,0,0.0480275786459605,0,0,0.00593685973285113,0,0,0,0,0,0,0,0,0,0,0,0.014051556082777,0,0,0,0,0.0136254355886851,0,0
"Merdimonas_faecis",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512755371579024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
