,Importance,P-val,Q-val
age,0.062109214156315165,1.2810718345817004e-34,7.221953380243927e-34
Lachnoclostridium_sp_YL32,0.023243621791525074,1.2810718345817004e-34,7.221953380243927e-34
Gordonibacter_pamelaeae,0.02203813166353762,1.2810718345817004e-34,7.221953380243927e-34
Clostridium_bolteae,0.021291092283899818,1.2810718345817004e-34,7.221953380243927e-34
Blautia_hydrogenotrophica,0.019983814072039696,1.2810718345817004e-34,7.221953380243927e-34
Faecalibacterium_prausnitzii,0.01866899506055392,1.2810718345817004e-34,7.221953380243927e-34
Hungatella_hathewayi,0.018522978407043998,1.2810718345817004e-34,7.221953380243927e-34
Clostridium_citroniae,0.016325917046529585,1.2810718345817004e-34,7.221953380243927e-34
Alistipes_obesi,0.016098280106153308,1.2810718345817004e-34,7.221953380243927e-34
Merdimonas_faecis,0.013966887291735078,1.2810718345817004e-34,7.221953380243927e-34
Clostridium_symbiosum,0.013888653019271651,1.2810718345817004e-34,7.221953380243927e-34
Clostridium_asparagiforme,0.01346051062990158,1.2810718345817004e-34,7.221953380243927e-34
Subdoligranulum_variabile,0.013376230307004482,7.688546849598777e-34,3.575174285063431e-33
Alistipes_shahii,0.013042771146763277,1.2810718345817004e-34,7.221953380243927e-34
Prevotella_stercorea,0.012652788372815034,1.2810718345817004e-34,7.221953380243927e-34
Anaerostipes_hadrus,0.012618471398336361,1.4018684639945663e-34,7.242987063971926e-34
Intestinibacter_bartlettii,0.01186706742092273,1.2810718345817004e-34,7.221953380243927e-34
Dorea_longicatena,0.011082878635009319,2.2302617669697543e-33,9.018014970790746e-33
Eggerthella_lenta,0.010581784970456842,1.3201420157435136e-34,7.221953380243927e-34
Paraprevotella_xylaniphila,0.01007725302031661,1.3201420157435136e-34,7.221953380243927e-34
Alistipes_senegalensis,0.009941934038888097,7.216770791560224e-33,2.796498681729587e-32
Culturomica_massiliensis,0.009428367123549568,1.1993973235166141e-33,5.31161671843072e-33
Gemmiger_formicilis,0.009031591342210576,4.116274343900288e-34,2.0148079683301406e-33
Alistipes_finegoldii,0.008671669316103022,1.350092582338263e-33,5.7072095526117476e-33
Rikenella_microfusus,0.00823942725014071,3.7800795727891984e-30,1.2555264295335552e-29
Odoribacter_splanchnicus,0.007864442877272839,4.08181574545182e-31,1.4600340935654587e-30
Lachnoclostridium_phocaeense,0.007802327171518471,2.6042546674932177e-28,7.339263153844522e-28
Ruthenibacterium_lactatiformans,0.007676299572447225,1.4210056738426e-31,5.286141106694472e-31
Alistipes_timonensis,0.007655518052527304,5.577152779054782e-31,1.9210192905633138e-30
Alistipes_putredinis,0.0074084333227821715,3.3735485676496643e-29,1.045800055971396e-28
Bacteroides_coprocola,0.00732841154481031,1.7418054524940427e-29,5.585789899377447e-29
Blautia_obeum,0.007218495511380427,5.679542978869864e-29,1.7038628936609592e-28
Butyricicoccus_pullicaecorum,0.007144302631815523,1.688666039983503e-28,4.907685678702055e-28
Agathobaculum_desmolans,0.006987276027344693,1.3412923347711884e-18,2.9700044555647746e-18
Bacteroides_nordii,0.006879543841471406,1.5188638298172174e-26,4.154539299205918e-26
Anaerotruncus_colihominis,0.006817848891501338,2.2683559826745822e-24,5.551502799703582e-24
Bacteroides_plebeius,0.0067932662524454865,1.341169629945823e-24,3.3710479887827445e-24
Bacteroides_coprophilus,0.0067699035428644225,5.150867401730207e-26,1.33064074544697e-25
UniqID,0.006729399909264014,2.625370931327871e-26,6.975985617528343e-26
Collinsella_aerofaciens,0.00640216672981249,3.755194530709253e-18,7.937115712635466e-18
Intestinimonas_butyriciproducens,0.006386988504797488,1.7372160419775195e-18,3.757234695439752e-18
Clostridium_methylpentosum,0.006354489961799049,6.972279601411351e-21,1.621055007328139e-20
Prevotella_copri,0.006337693228188597,6.485724312022962e-22,1.5465957974823985e-21
Eubacterium_ventriosum,0.006317259979401045,1.3342074604053065e-17,2.7573620848376333e-17
Blautia_hansenii,0.006244686246076028,2.3226276217617758e-14,4.235379780859709e-14
Mordavella_sp_MarseilleP3756,0.006230723169098968,6.271041674113015e-13,1.080012732763908e-12
Bacteroides_reticulotermitis,0.006176717977532783,3.3281171408405037e-19,7.549143758491874e-19
Parabacteroides_goldsteinii,0.006171679583184236,1.0745956028773706e-16,2.1725519797303362e-16
Bacteroides_barnesiae,0.006161370915489762,3.3059873868972296e-13,5.801072207197025e-13
Faecalicatena_contorta,0.0061088672440453295,8.057561795389884e-15,1.4987064939425185e-14
Oscillibacter_sp_PEA192,0.0060590867293605945,1.6456940652858067e-16,3.256373363225107e-16
Roseburia_faecis,0.006031307017250845,1.4169003906860686e-10,2.3117848479614803e-10
Bilophila_wadsworthia,0.006031079210964462,6.176811703956389e-16,1.1967572676415503e-15
Faecalitalea_cylindroides,0.005992764442460188,4.7131784994407356e-15,8.945420417305887e-15
Bacteroides_thetaiotaomicron,0.005892706503437118,8.98085466700878e-14,1.6061913154458013e-13
Provencibacterium_massiliense,0.005764755814115289,4.1517473742452394e-10,6.657112169048401e-10
Coprobacter_secundus,0.0057478530671279185,1.3108307980599089e-12,2.2164957130831188e-12
Clostridiales_bacterium,0.00574760911825458,1.704875808766099e-11,2.8313116109865573e-11
Flavonifractor_plautii,0.005740293312302589,2.1615597412011584e-07,3.141016498932933e-07
Coprobacter_fastidiosus,0.005705695917076794,3.6847499633313276e-09,5.61773355065268e-09
Barnesiella_viscericola,0.005677190672993627,2.0210805510506538e-09,3.1326748541285134e-09
Fusicatenibacter_saccharivorans,0.005669303170730615,1.7599398591904703e-07,2.59800645880498e-07
Marvinbryantia_formatexigens,0.005633198490409997,1.1243147885018124e-08,1.6864721827527188e-08
Holdemania_massiliensis,0.00561349944294422,6.643005705449587e-06,9.360598948588053e-06
Eubacterium_hallii,0.005604418865883139,1.4493650338925243e-06,2.073706894646227e-06
Angelakisella_massiliensis,0.005599382635850413,1.4368345930000247e-09,2.2648409686271575e-09
