,F1-score
0,0.7719
1,0.7719
2,0.7895
3,0.7778
4,0.7602
5,0.7602
6,0.8246
7,0.7895
8,0.7602
9,0.7895
10,0.7836
11,0.7953
12,0.7836
13,0.7661
14,0.7778
15,0.7836
16,0.7719
17,0.7719
18,0.7778
19,0.7661
20,0.7778
21,0.7778
22,0.7661
23,0.7719
24,0.7602
25,0.7778
26,0.8012
27,0.7778
28,0.8129
29,0.7661
30,0.7719
31,0.7661
32,0.7895
33,0.7836
34,0.7719
35,0.7895
36,0.7778
37,0.7719
38,0.7719
39,0.7778
40,0.7895
41,0.7778
42,0.7719
43,0.7778
44,0.7778
45,0.7544
46,0.7602
47,0.7368
48,0.7836
49,0.7778
50,0.8012
51,0.7778
52,0.7661
53,0.7953
54,0.7661
55,0.807
56,0.7719
57,0.7953
58,0.7836
59,0.7661
60,0.7778
61,0.7778
62,0.7544
63,0.7836
64,0.7485
65,0.7661
66,0.7895
67,0.7836
68,0.7836
69,0.7836
70,0.7719
71,0.7602
72,0.7719
73,0.7602
74,0.7544
75,0.7661
76,0.7778
77,0.7895
78,0.7895
79,0.7836
80,0.7778
81,0.7778
82,0.7778
83,0.7953
84,0.7602
85,0.7485
86,0.7836
87,0.8012
88,0.7427
89,0.7602
90,0.7778
91,0.7719
92,0.7895
93,0.7953
94,0.7544
95,0.7661
96,0.7836
97,0.7602
98,0.7778
99,0.8129
