,Importance,P-val,Q-val
Agathobaculum_desmolans,0.010814967214290165,1.597490562857969e-16,4.844003642214487e-16
Alistipes_finegoldii,0.0073092887784370845,6.746610677097982e-17,2.348820013508186e-16
Alistipes_obesi,0.011664240909429581,3.533035965194466e-18,1.660526903641399e-17
Alistipes_putredinis,0.004974570468666408,1.3835767729548305e-10,3.3347747860962583e-10
Alistipes_senegalensis,0.011715201404760471,3.533035965194466e-18,1.660526903641399e-17
Alistipes_shahii,0.013489578982734902,3.533035965194466e-18,1.660526903641399e-17
Alistipes_sp_MarseilleP5997,0.0037810713932038002,0.03258451588719694,0.04195814374515771
Alistipes_timonensis,0.010274184912506083,4.49259781799699e-18,1.9195645222350776e-17
Anaerostipes_hadrus,0.01718642527063868,3.533035965194466e-18,1.660526903641399e-17
Bacteroides_barnesiae,0.004985484742262255,1.7095000260851514e-08,3.419000052170303e-08
Bacteroides_coprocola,0.004705851635138991,4.162365693788302e-08,7.98494643298164e-08
Bacteroides_coprophilus,0.004675688591603738,1.5194188386185912e-08,3.104899365872773e-08
Bacteroides_fluxus,0.003990871579004816,0.0033366923005669086,0.004681329496317752
Bacteroides_helcogenes,0.0038927961622834744,0.01915171259075135,0.025003624771258705
Bacteroides_plebeius,0.005048050670164362,4.5296558301546195e-10,1.0644691200863355e-09
Bacteroides_reticulotermitis,0.0042957041764741,0.00013453857565726748,0.00021077710186305238
Bacteroides_salanitronis,0.004061551052658543,0.007127887657775744,0.009571734854727428
Bacteroides_stercoris,0.004138578110686933,0.0004293247916860576,0.0006305707877888972
Barnesiella_intestinihominis,0.005219642888749346,9.393375808636745e-10,2.1023269666948907e-09
Barnesiella_viscericola,0.004272866674792824,8.020742964011423e-05,0.000127788108240182
Blautia_hansenii,0.006748880138146111,7.03299924488879e-13,1.888862654341561e-12
Blautia_obeum,0.006188245554352359,1.0100749218659419e-16,3.3909658091213763e-16
Blautia_sp_N6H115,0.008832920133072433,3.1691364166837613e-17,1.1915952926730943e-16
Butyricicoccus_pullicaecorum,0.004005661768063584,0.009109590035412863,0.012060583990546606
Clostridium_asparagiforme,0.009477749062380102,6.828487383600727e-18,2.790773104602036e-17
Clostridium_bolteae,0.03303994997882934,3.533035965194466e-18,1.660526903641399e-17
Clostridium_citroniae,0.023327072048756996,3.533035965194466e-18,1.660526903641399e-17
Clostridium_scindens,0.004735413897690565,0.0001664631941944047,0.0002565170533487548
Clostridium_symbiosum,0.014899176221038984,3.533035965194466e-18,1.660526903641399e-17
Coprobacter_fastidiosus,0.0042027068949308825,6.069433171325298e-05,0.00010009240668501368
Coprobacter_secundus,0.004916387111727174,3.4373761885946224e-08,6.731528369331136e-08
Coprococcus_eutactus,0.004409330332573153,3.0084762563410124e-06,5.33578807728406e-06
Culturomica_massiliensis,0.011584354845006285,3.533035965194466e-18,1.660526903641399e-17
Dorea_longicatena,0.005760744436122642,5.8296004204553915e-09,1.2454146352791063e-08
Erysipelotrichaceae_bacterium,0.004239711645799411,0.005758875918560291,0.007845425164415469
Eubacterium_ramulus,0.004051581394618403,0.00030215186873835975,0.00045810122034525515
Eubacterium_ventriosum,0.0050336779343904394,8.717547266798086e-09,1.8209987623978224e-08
Faecalibacterium_prausnitzii,0.016535053157665333,3.533035965194466e-18,1.660526903641399e-17
Faecalitalea_cylindroides,0.004225819909882472,0.003550856908455563,0.004908537491100337
Flavonifractor_plautii,0.007420619759844574,7.762066810476817e-16,2.280107125577565e-15
Gemmiger_formicilis,0.010164488703791483,3.533035965194466e-18,1.660526903641399e-17
Hungatella_hathewayi,0.02386672684378834,3.533035965194466e-18,1.660526903641399e-17
Intestinimonas_butyriciproducens,0.004838276635539854,1.429981968246323e-07,2.5849674041375836e-07
Mordavella_sp_MarseilleP3756,0.006262015588991315,1.1660445439690486e-11,2.8844259771865944e-11
Oscillibacter_sp_PEA192,0.00458901821891757,1.3288213902005047e-07,2.498184213576949e-07
Parabacteroides_goldsteinii,0.004540716612459257,1.3785057541796439e-07,2.540775311625226e-07
Paraprevotella_xylaniphila,0.005079972617469578,5.156875913826674e-10,1.1823081363407494e-09
Prevotella_stercorea,0.009814609495324365,3.533035965194466e-18,1.660526903641399e-17
Rikenella_microfusus,0.007548938205225972,1.5087731938188171e-16,4.727489340632294e-16
Roseburia_faecis,0.004269432147871604,0.0010908893061045216,0.001577593765751154
Ruminococcus_lactaris,0.004349048677028533,0.0003605629107338578,0.000537982755698137
Ruthenibacterium_lactatiformans,0.006055859352745741,1.4249159967701743e-16,4.61869323091022e-16
Subdoligranulum_variabile,0.012729927900961484,4.2418736726820516e-17,1.5336004816619723e-16
bacterium_LF3,0.004504934568024656,4.317961950770533e-05,7.516452284674631e-05
Alistipes_inops,0.005831007840322894,8.7843693861643e-12,2.2317046548633627e-11
Bilophila_wadsworthia,0.004266467608751284,4.7044755694848785e-05,8.040376427846884e-05
Bittarella_massiliensis,0.004596916870242699,6.981140748526246e-05,0.00011314262592439089
Blautia_hydrogenotrophica,0.025132553299542962,3.533035965194466e-18,1.660526903641399e-17
Clostridium_methylpentosum,0.004247667390501912,0.0017144023738947382,0.002441724593122809
Eggerthella_lenta,0.010527640154216054,3.533035965194466e-18,1.660526903641399e-17
Faecalicatena_contorta,0.008026842789434161,4.230977759222343e-18,1.8938662350804774e-17
Gordonibacter_pamelaeae,0.0237385864868111,3.533035965194466e-18,1.660526903641399e-17
Holdemania_massiliensis,0.004840838256627593,1.495130275123421e-09,3.2684243223628273e-09
Lachnoclostridium_phocaeense,0.006756900785561764,6.606593515976882e-12,1.7250549736161857e-11
Marvinbryantia_formatexigens,0.00590670656655608,2.619462775988788e-15,7.242044145380765e-15
Merdimonas_faecis,0.01374766557496114,3.533035965194466e-18,1.660526903641399e-17
Eubacterium_siraeum,0.0038142869303294364,0.03571500795569359,0.045367712808583746
Intestinibacter_bartlettii,0.013870825839282204,3.533035965194466e-18,1.660526903641399e-17
Lachnoclostridium_sp_YL32,0.031107303569798638,3.533035965194466e-18,1.660526903641399e-17
Sellimonas_intestinalis,0.006781697604190848,1.1458290429118719e-15,3.263876667688362e-15
Cohort,0.08729666180724817,3.533035965194466e-18,1.660526903641399e-17
sex,0.00932183902944025,1.0987632269658297e-17,4.303489305616167e-17
age,0.07683988698634141,3.533035965194466e-18,1.660526903641399e-17
UniqID,0.004271421506502404,5.1235013898148135e-05,8.600163047189151e-05
