,F1-score
0,0.8547
1,0.8721
2,0.8721
3,0.8663
4,0.8721
5,0.8663
6,0.8721
7,0.8605
8,0.8779
9,0.8605
10,0.8663
11,0.8605
12,0.8779
13,0.8721
14,0.8605
15,0.8779
16,0.8547
17,0.8605
18,0.8779
19,0.8721
20,0.8663
21,0.8605
22,0.8779
23,0.8663
24,0.8663
25,0.8605
26,0.8663
27,0.8663
28,0.8663
29,0.8721
30,0.8721
31,0.8779
32,0.8663
33,0.8605
34,0.8721
35,0.8605
36,0.8721
37,0.8663
38,0.8721
39,0.8721
40,0.8663
41,0.8721
42,0.8663
43,0.8837
44,0.8605
45,0.8547
46,0.8605
47,0.8663
48,0.8663
49,0.8663
