"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
48,9,33,6,28159,28,29,62,9166,7087,238,73485,21314,23562,175,2940,43873,31,12,6,1980,61130,12797,2,16523,1510,44802,111300,95,1518,55,18225,73,504397,6065,14809,2620,2196,35,3,5807,232,12,6,27,161,1071990,35,2628,9655
41,3,57,2,39204,3,30,56,23653,23920,104,18457,9501,43517,399,5252,48984,11,43,11,3062,10150,6591,16,61522,1460,5780,72831,53,34761,98,1109,11,138528,76549,14353,1399,43,51,17,70700,314,14,1,62,436,236190,6,2217,33103
87,9,10,2,164722,102,8,18,3150,75923,745,173567,1407,3818,89,546031,18131,29,1,21,1886,16174,5429,24,113460,246,14513,117100,124,16401,544,2342,26,68474,151228,36093,2644,14,117,13,25518,141,7,10,226,1088,80708,5,4908,6811
15,7,63,3,47557,6,36,51,12115,58243,256,48337,4370,23884,67,58191,25199,5,4,25,3895,4209,3738,37,471767,618,1330,14478,79,26579,128,1921,10,92263,164642,24606,1681,26,57,33,67424,78,16,1,813,822,130309,4,511,71039
48,4,47,5,29000,32,36,72,3041,13678,218,459604,13868,78278,25,3238,39432,155,17,1,356,33512,36000,22,35482,1059,10278,49641,52,4861,423,15015,5,55028,8197,97319,4698,97,32,4,10278,247,58,1,95,553,1085092,2,235,4496
20,7,27,9,15615,17,40,195,4771,4094,219,128939,22679,25658,41,28445,78062,5,8,5,8926,37715,23868,3,98652,2569,12795,58898,33,5844,95,19204,10,64568,53921,30920,1414,75,173,2,40874,36,19,3,59,687,190287,5,798,10137
83,2,33,15,144737,27,2,51,5702,167861,183,13382,5711,56474,179,6792,20564,14,11,23,371,8172,6799,100,446548,146,2824,29011,492,36106,62,5152,14,52444,28078,52640,2413,104,96,8,23321,226,3,9,222,2272,61995,3,378,51295
42,10,11,4,26917,21,33,147,1902,6143,172,224507,28331,27182,42,4827,36394,17,14,1,2075,7909,28219,29,51730,2876,2518,135015,91,28076,30,438,6,556262,246822,12638,603,46,353,10,40563,20,10,6,898,862,289166,2,3119,9095
27,6,11,6,26979,26,3,65,16641,49413,93,74339,8015,217593,88,2597,5874,38,34,27,884,2710,7655,43,246617,1961,3406,37398,50,5667,692,5859,2,103155,163884,96747,1785,22,132,16,10641,34,15,6,170,212,72676,7,3141,22018
25,3,38,4,129399,2,13,27,35089,37241,504,100478,2975,21033,465,41212,12386,6,40,26,1256,3826,10190,39,348169,174,8397,164762,63,18111,379,1525,18,144550,104003,46504,1360,63,592,5,10144,100,5,19,32,189,160092,1,2121,19099
